#{"t_start": 1667216130.8742926, "env_id": "binary-narrow-v0"}
r,l,t
-46,107,35.175204
1,122,43.914954
-5,103,51.324248
-120,91,58.077703
-53,123,67.232185
3,155,76.232556
-5,142,84.755194
-28,104,92.457603
0,250,108.827954
1,154,117.803354
36,173,128.028414
16,166,140.821715
-70,123,148.563432
55,129,157.81273
50,141,165.98191
51,124,173.294287
0,255,189.007174
0,379,212.538584
15,246,226.22189
43,116,232.68436
6,110,235.184377
88,109,241.786175
17,248,254.831195
-1,407,274.939994
73,60,279.896358
0,326,294.256299
6,225,305.838154
34,146,312.121094
69,7644,684.855667
-7,305,698.755051
64,7644,1062.324838
20,54,1067.578476
