#{"env_id": "binary-wide-v0", "t_start": 1668712716.318309}
r,l,t
28,65,9.155681
77,73,31.15124
-34,68,34.118206
19,85,55.125284
-81,62,57.940408
10,76,78.823703
65,68,81.65912
-6,94,103.100225
0,84,124.518993
1,85,127.9112
-4,93,150.154014
75,69,171.641554
7,70,174.487516
10,77,196.845098
-5,84,219.313992
55,59,221.747907
-24,62,223.472776
-5,81,246.836834
68,73,269.925217
16,80,272.541436
46,91,296.992286
59,86,321.543212
-1,114,346.559753
77,69,348.42877
4,95,372.77655
0,89,396.947439
42,70,398.828403
10,104,423.604516
79,57,425.044492
99,71,448.905903
78,72,451.04895
39,82,474.503351
67,66,498.516496
-10,84,500.986826
87,63,523.753841
-15,102,547.78586
106,74,550.118284
18,85,572.24176
15,75,575.196584
99,59,596.159592
-5,99,619.284197
95,97,622.860295
25,73,644.099863
2,83,666.883767
-7,102,670.670037
97,112,693.333815
22,111,715.85232
-1,104,738.095637
1,91,759.666615
0,112,781.877937
50,91,785.527881
86,71,806.178451
54,77,809.316081
0,94,831.160323
78,61,850.808201
62,80,854.22222
91,63,874.298181
27,109,896.390493
22,82,899.74167
0,152,923.255504
73,82,943.679066
7,112,965.228567
99,84,985.949724
97,68,988.761131
-1,98,1009.804566
55,87,1030.105585
0,111,1034.736031
-6,176,1075.865858
47,115,1097.774104
89,69,1100.635735
105,119,1122.528794
-5,112,1144.291627
57,114,1166.180474
62,139,1189.966812
0,97,1211.310911
-5,130,1233.855953
50,133,1256.360194
1,118,1278.223645
69,55,1280.521703
6,130,1303.035894
-10,94,1323.68051
-6,213,1366.600083
68,69,1369.381081
2,116,1391.502282
37,92,1412.357565
65,119,1434.703069
-1,107,1456.94027
76,93,1461.120576
10,105,1482.840509
40,203,1525.08735
-7,98,1529.071991
124,136,1551.928974
22,142,1592.203348
17,121,1614.269006
80,149,1637.095412
0,112,1659.189366
0,118,1664.098366
0,100,1685.301039
3,125,1707.668355
60,88,1728.197437
43,99,1749.513469
65,141,1772.732326
96,124,1795.572129
45,101,1816.807596
18,103,1821.162949
78,61,1840.830096
44,66,1843.602815
35,67,1863.91114
32,58,1866.193798
20,72,1887.026872
-21,124,1909.624175
47,90,1930.627931
30,79,1933.86243
100,78,1954.085277
13,107,1975.259724
86,123,1997.109838
19,88,2000.70014
90,111,2022.617938
10,88,2043.471688
61,67,2046.136534
-8,93,2067.440254
71,74,2087.738406
18,139,2110.545441
42,84,2113.994769
5,109,2135.986427
64,61,2156.228896
91,65,2158.84934
97,86,2180.102525
-7,115,2202.441715
29,118,2224.554223
51,113,2247.216474
13,120,2269.878816
33,142,2293.467014
71,114,2316.213706
-4,85,2319.657944
80,193,2362.214381
99,134,2384.961997
101,91,2388.667769
2,89,2409.336257
24,97,2431.136932
63,73,2451.880516
103,103,2455.896557
102,116,2478.121051
73,68,2498.520813
103,111,2520.659005
100,71,2523.58789
92,66,2544.194124
8,114,2566.137151
46,116,2571.23718
99,80,2591.814115
102,118,2614.733581
75,73,2635.35875
-1,93,2639.497255
64,74,2659.622834
29,69,2662.490784
0,100,2683.49132
87,65,2703.480291
112,83,2706.899307
12,78,2726.663167
64,73,2746.808071
84,77,2749.912351
68,49,2769.204611
121,78,2772.325252
108,91,2793.340605
96,96,2814.687158
-1,115,2836.64691
100,75,2839.666783
58,109,2861.242506
-5,84,2882.383923
70,69,2885.199682
56,67,2905.610311
0,129,2928.559824
-1,121,2951.151274
106,87,2954.743908
86,76,2975.311981
0,94,2996.982187
110,58,2999.268608
0,91,3020.792971
24,97,3042.098177
110,86,3045.444344
97,99,3067.525264
3,153,3091.730029
1,104,3114.067978
112,83,3135.986315
48,62,3138.423807
95,79,3159.986966
-5,103,3182.831472
99,105,3187.001923
95,132,3210.082026
69,90,3232.007844
71,49,3252.690243
1,72,3255.351061
96,98,3277.860744
56,61,3280.577575
66,91,3302.399319
77,88,3323.685072
31,65,3326.283234
83,61,3347.073593
41,66,3349.732635
0,111,3372.458932
0,78,3393.747378
42,87,3397.303549
-4,86,3419.10339
83,104,3441.60674
89,63,3444.110825
0,110,3466.605402
44,63,3487.25967
-6,100,3491.225618
87,99,3513.328013
74,58,3534.034003
43,64,3536.577095
-13,135,3559.95339
95,72,3580.766006
8,133,3604.440955
-1,109,3626.876518
18,142,3650.433114
2,137,3674.213478
0,71,3677.072146
-16,113,3699.844358
0,74,3721.292447
-2,91,3743.065844
-5,87,3746.581092
38,64,3766.785583
6,92,3788.161417
18,68,3790.811954
92,141,3814.235054
7,134,3837.756546
131,72,3858.43034
86,69,3861.306688
0,112,3883.086361
78,69,3904.04335
51,190,3930.202286
0,114,3952.704005
-3,101,3975.122276
61,163,3999.727623
73,116,4022.462942
-4,163,4047.227279
-5,97,4068.759973
121,73,4089.272019
57,160,4113.48633
41,120,4135.978659
-12,154,4160.073535
56,59,4179.842806
91,69,4182.918049
83,126,4205.418211
96,109,4226.459231
5,107,4247.881014
81,62,4250.326509
67,91,4270.87726
81,107,4292.216839
122,85,4295.709457
74,92,4316.598534
65,56,4335.938946
64,99,4339.97239
73,86,4360.771158
25,103,4382.293938
57,47,4384.192088
-5,59,4404.094574
0,73,4407.079329
104,67,4427.273589
-5,101,4448.934119
117,75,4451.993505
32,61,4471.878535
103,87,4475.502128
0,94,4496.872325
53,55,4499.129276
106,94,4520.163918
66,72,4539.976335
64,76,4543.103366
114,87,4564.05648
113,77,4585.581275
1,96,4589.156657
85,74,4611.140746
62,88,4633.67241
0,105,4637.706152
8,104,4660.390553
49,103,4682.62901
5,88,4704.283579
89,52,4706.402314
79,132,4730.014635
-14,120,4752.847585
51,100,4775.015738
91,82,4796.541047
37,51,4798.096151
0,123,4821.793885
-5,75,4824.823524
90,55,4845.683967
5,85,4868.254441
53,66,4870.409531
-17,95,4892.507326
-6,120,4916.230872
-1,93,4939.430264
127,59,4941.061765
-4,102,4964.292734
12,130,4988.754828
117,70,4990.899306
10,95,5014.037271
0,99,5038.071457
68,50,5039.367757
64,76,5063.012877
112,51,5064.326613
72,59,5087.462219
-6,108,5112.462295
105,54,5113.834336
-1,95,5138.663276
-10,99,5141.244246
42,75,5165.97419
85,84,5190.592806
101,58,5192.046996
117,52,5215.561492
96,78,5217.560553
127,55,5240.595198
73,61,5242.114887
35,92,5265.801656
4,73,5267.709851
65,56,5290.773678
75,73,5292.690398
3,111,5316.915394
70,75,5339.885447
31,80,5341.95722
24,104,5365.772849
0,106,5389.315259
-8,94,5412.171719
113,83,5414.635977
100,68,5437.237192
114,84,5459.181834
-33,92,5462.35203
5,94,5485.255592
-37,112,5507.556325
85,57,5509.499921
0,97,5531.815948
113,78,5552.665552
-1,68,5555.365059
-18,107,5578.42324
85,81,5599.531633
0,107,5622.054025
129,69,5624.902281
70,65,5644.99211
64,59,5647.360154
-4,78,5668.23037
14,87,5671.622274
27,102,5693.532107
72,83,5714.20805
-14,108,5735.078834
64,77,5738.188699
73,119,5760.224854
111,100,5781.4778
28,77,5802.279855
27,81,5805.577928
15,71,5825.82132
3,130,5848.601794
15,108,5869.482504
0,135,5892.218215
100,47,5894.175094
99,66,5914.017254
112,72,5916.914514
-3,105,5938.301421
96,68,5958.57225
93,75,5961.577693
99,76,5981.828211
-10,106,6003.127006
21,84,6006.51248
88,54,6025.833583
-6,125,6048.118021
106,76,6051.254154
20,108,6072.853308
78,55,6075.11184
100,73,6094.929632
-5,142,6117.865018
48,63,6137.00172
111,74,6140.032376
63,62,6159.792134
104,65,6162.442493
0,121,6183.737626
0,143,6206.634585
118,58,6226.060393
5,100,6248.446853
78,55,6250.401902
13,125,6272.954077
8,197,6299.491413
