#{"t_start": 1669469214.7042553, "env_id": "sokoban-turtle-v0"}
r,l,t
0.0,11,3.662922
4.0,16,3.886868
16.0,17,4.049727
-8.0,6,4.123731
1.0,19,4.351765
9.0,9,4.459848
6.0,7,4.56076
0.0,10,4.630318
0.0,9,4.711267
6.0,13,5.024657
2.0,14,6.20548
3.0,22,6.51699
-4.0,6,6.572491
7.0,13,6.732213
1.0,12,6.845604
-4.0,9,6.964711
5.0,8,7.073202
0.0,13,7.190335
-1.0,6,7.259664
3.0,9,9.309454
4.0,13,14.281082
-5.0,14,14.528659
6.0,11,15.618498
0.0,9,15.700121
-3.0,7,15.794356
0.0,9,15.895653
6.0,13,16.05637
0.0,7,16.140786
4.0,7,16.235966
3.0,12,16.394269
-1.0,19,16.558942
-5.0,10,16.692546
-5.0,9,17.647256
-4.0,8,17.723295
4.0,10,18.770308
-1.0,14,18.970348
5.0,7,19.065357
-2.0,5,19.120811
-4.0,9,19.225619
7.0,12,19.37191
-5.0,16,19.547964
5.0,14,19.789617
3.0,10,19.918576
4.0,9,19.996175
-2.0,12,20.109408
4.0,7,20.171453
5.0,8,20.254303
-5.0,12,21.360624
2.0,13,21.499098
3.0,8,21.575607
3.0,7,21.6491
-3.0,9,21.748088
-1.0,8,21.823369
-5.0,10,21.98162
1.0,10,22.092431
-4.0,7,22.172001
0.0,20,22.421882
9.0,13,22.63197
2.0,13,22.784728
7.0,8,24.059025
5.0,10,24.184032
-1.0,20,24.380587
-1.0,20,24.599603
-9.0,15,24.742936
2.0,10,24.871107
-9.0,15,25.020553
0.0,5,25.057384
8.0,22,25.281861
-2.0,14,26.352841
0.0,8,26.428854
-4.0,9,26.526809
-5.0,14,26.640917
5.0,12,26.73628
3.0,12,26.878922
1.0,8,26.979008
-2.0,15,27.209046
3.0,10,27.377345
3.0,11,27.468189
0.0,8,27.541
5.0,7,27.595181
1.0,12,28.708125
0.0,11,28.818285
-2.0,7,28.883788
0.0,15,29.03718
5.0,13,29.189536
1.0,9,29.292284
4.0,14,29.427978
5.0,16,29.601421
-2.0,8,29.691981
3.0,21,29.972516
0.0,17,31.098012
-8.0,6,31.164265
6.0,11,31.275398
3.0,18,31.509334
-3.0,7,31.562025
3.0,10,31.672491
5.0,13,31.79
-8.0,15,32.018506
5.0,8,32.107351
-6.0,15,32.259844
3.0,19,33.407019
6.0,17,33.611299
-2.0,13,33.77881
5.0,9,34.000153
4.0,6,34.123202
3.0,13,34.280993
-2.0,16,34.552519
-3.0,7,34.618819
9.0,11,35.332904
3.0,17,35.5171
-2.0,15,36.844857
-2.0,9,36.963001
-3.0,20,37.179661
4.0,11,37.331495
0.0,23,37.540686
3.0,11,37.683412
5.0,11,37.806845
6.0,11,37.908574
2.0,16,38.181998
0.0,30,39.51822
3.0,22,39.756396
0.0,19,39.949842
3.0,16,40.126213
6.0,15,40.289299
2.0,10,40.382331
3.0,6,40.437276
5.0,16,40.578489
0.0,7,40.66331
-2.0,12,41.761497
12.0,15,41.920997
1.0,18,42.153252
0.0,11,42.28923
7.0,9,42.366092
0.0,32,42.6483
3.0,9,42.735843
0.0,8,42.794563
0.0,8,42.87789
3.0,10,43.977973
-1.0,13,44.126636
6.0,19,44.298625
11.0,20,44.571435
9.0,24,44.929775
4.0,10,45.037534
-2.0,10,45.179799
15.0,13,45.341796
3.0,22,46.573759
5.0,24,46.876933
2.0,22,47.114623
-4.0,13,47.242613
-5.0,19,47.448129
6.0,8,47.537088
-3.0,14,47.676399
6.0,13,47.802438
5.0,9,47.927488
0.0,11,48.976424
-3.0,17,49.167732
6.0,12,49.354313
