#{"t_start": 1684436456.7797196, "env_id": "arl-sokoban-turtle-v0"}
r,l,t,sol-length,crate,solver
-4.0,15,1.896486,0,0,0
-4.0,6,1.920122,0,2,0
1.0,6,1.947343,0,6,0
0.0,10,1.984664,0,1,0
-5.0,9,2.02193,0,1,0
-9.0,11,2.056107,0,2,0
0.0,11,2.125367,0,0,0
4.0,6,2.158487,0,1,0
-9.0,12,2.214006,0,1,0
0.0,8,2.247041,0,2,0
-4.0,14,2.293122,0,2,0
0.0,19,2.36208,0,2,0
4.0,7,2.382766,0,1,0
9.0,10,2.434223,0,3,0
9.0,9,2.469456,0,3,0
0.0,5,2.495186,0,1,0
-8.0,7,2.534449,0,1,0
0.0,11,2.590863,0,3,0
4.0,7,2.613718,0,1,0
-3.0,13,2.66441,0,1,0
1.0,8,2.699142,0,4,0
-5.0,15,2.765127,0,0,0
-9.0,15,2.847725,0,2,0
5.0,10,2.880173,0,5,0
13.0,12,2.919913,0,2,0
0.0,8,2.950121,0,0,0
0.0,12,3.021353,0,1,0
4.0,6,3.040088,0,1,0
0.0,11,3.088089,0,0,0
-4.0,12,3.129847,0,1,0
5.0,9,3.165118,0,1,0
0.0,9,3.193455,0,3,0
-4.0,15,3.241146,0,0,0
-5.0,9,3.286001,0,2,0
-4.0,13,3.325336,0,4,0
-5.0,10,3.370142,0,0,0
-4.0,7,3.39348,0,2,0
10.0,12,5.149347,0,0,0
9.0,15,5.23663,0,1,0
10.0,8,5.291856,0,1,0
5.0,10,5.348372,0,1,0
-6.0,15,5.417875,0,1,0
5.0,8,5.460278,0,2,0
0.0,10,5.519942,0,2,0
-5.0,9,5.559787,0,1,0
0.0,16,5.641006,0,2,0
4.0,6,5.679688,0,2,0
2.0,20,5.825024,0,2,0
-4.0,14,5.894936,0,3,0
4.0,6,5.930822,0,1,0
-19.0,11,5.981354,0,0,0
0.0,12,6.033026,0,2,0
4.0,15,6.12849,0,1,0
1.0,11,6.362883,0,0,0
5.0,10,6.421846,0,0,0
0.0,6,6.454897,0,0,0
5.0,18,6.547305,0,1,0
-4.0,8,6.604867,0,4,0
-4.0,5,6.641167,0,0,0
-4.0,15,6.799813,0,3,0
-5.0,8,6.84722,0,0,0
6.0,9,6.897745,0,4,0
-5.0,8,6.943326,0,0,0
9.0,15,7.027415,0,1,0
-9.0,6,7.084939,0,0,0
5.0,9,7.140626,0,1,0
7.0,12,7.199841,0,1,0
-9.0,12,7.271817,0,3,0
0.0,13,7.340143,0,2,0
-14.0,14,7.412366,0,3,0
-5.0,13,7.482137,0,1,0
4.0,11,7.544809,0,1,0
-8.0,12,7.599995,0,3,0
8.0,8,7.644926,0,1,0
-9.0,23,7.817977,0,3,0
0.0,11,7.880929,0,1,0
1.0,7,7.926756,0,2,0
-4.0,7,7.968387,0,1,0
5.0,13,8.03796,0,4,0
1.0,17,8.114364,0,2,0
1.0,11,8.185296,0,2,0
-4.0,17,8.318519,0,3,0
0.0,22,8.415084,0,1,0
-5.0,9,8.469668,0,2,0
-4.0,8,8.519911,0,1,0
-1.0,19,8.602052,0,2,0
-3.0,6,8.634894,0,0,0
1.0,8,8.682086,0,2,0
-10.0,20,8.773281,0,1,0
5.0,6,8.796564,0,2,0
1.0,6,8.822027,0,0,0
0.0,14,8.889714,0,0,0
2.0,12,8.948778,0,3,0
-9.0,9,9.006827,0,1,0
5.0,13,9.091756,0,1,0
0.0,11,9.157614,0,1,0
-4.0,6,9.180846,0,1,0
-8.0,15,9.277445,0,2,0
-4.0,13,9.335889,0,2,0
9.0,14,9.396488,0,3,0
10.0,9,9.464403,0,1,0
4.0,8,9.495684,0,1,0
0.0,10,9.533627,0,2,0
-6.0,7,9.56123,0,1,0
-14.0,9,9.59353,0,3,0
0.0,8,9.62412,0,0,0
4.0,15,9.681078,0,1,0
18.0,16,9.770922,0,1,0
0.0,7,9.841411,0,1,0
0.0,14,9.902801,0,2,0
-3.0,14,10.017597,0,3,0
5.0,5,10.03759,0,1,0
-15.0,15,10.103444,0,0,0
1.0,18,10.272706,0,3,0
-4.0,6,10.307734,0,5,0
0.0,7,10.34902,0,2,0
-5.0,16,10.431284,0,2,0
-9.0,9,10.543782,0,2,0
-5.0,16,10.626272,0,3,0
5.0,7,10.659216,0,2,0
5.0,15,10.736049,0,4,0
-8.0,21,10.843955,0,3,0
-17.0,13,10.910632,0,4,0
-4.0,14,10.969162,0,2,0
0.0,12,11.024386,0,1,0
0.0,25,11.135282,0,0,0
-5.0,14,11.212959,0,0,0
5.0,11,11.264725,0,2,0
4.0,11,11.313883,0,2,0
5.0,9,11.368902,0,0,0
-8.0,8,11.403664,0,6,0
5.0,6,11.432732,0,2,0
-8.0,12,11.484787,0,2,0
8.0,12,11.540893,0,1,0
1.0,12,11.589349,0,0,0
5.0,11,11.658034,0,2,0
-9.0,8,11.708047,0,3,0
0.0,8,11.76254,0,0,0
-5.0,13,11.828931,0,1,0
-4.0,6,11.88886,0,1,0
4.0,7,11.927346,0,1,0
1.0,10,11.964344,0,2,0
-4.0,8,12.007772,0,3,0
-4.0,13,12.076488,0,3,0
-4.0,11,12.121621,0,3,0
-1.0,7,12.157277,0,1,0
-4.0,10,12.197424,0,1,0
5.0,7,12.22621,0,1,0
-13.0,14,12.314393,0,0,0
-4.0,15,12.396443,0,0,0
-1.0,7,12.429106,0,1,0
9.0,9,12.482004,0,3,0
-4.0,11,12.561365,0,1,0
0.0,15,12.62055,0,2,0
-10.0,15,12.701659,0,1,0
-4.0,19,12.825004,0,2,0
-4.0,8,12.867999,0,3,0
4.0,6,12.899981,0,1,0
1.0,12,12.960892,0,0,0
4.0,13,13.02816,0,2,0
0.0,14,13.114592,0,2,0
-4.0,11,13.196573,0,2,0
-5.0,16,13.299591,0,1,0
5.0,8,13.339029,0,1,0
-5.0,13,13.401527,0,3,0
15.0,11,13.444922,0,2,0
4.0,12,13.49225,0,2,0
5.0,11,13.541425,0,2,0
4.0,8,13.664714,0,2,0
1.0,8,13.715741,0,0,0
-9.0,8,13.761766,0,3,0
-8.0,14,13.832964,0,0,0
8.0,19,13.934548,0,3,0
-11.0,16,14.030405,0,2,0
5.0,7,14.068073,0,1,0
5.0,8,14.10359,0,1,0
-5.0,8,14.137652,0,0,0
0.0,21,14.246224,0,1,0
-1.0,10,14.31593,0,3,0
9.0,10,14.381269,0,1,0
-10.0,9,14.427844,0,2,0
-5.0,8,14.473644,0,1,0
-4.0,14,14.548282,0,3,0
-5.0,10,38.163119,0,2,0
-4.0,11,38.206829,0,0,0
-10.0,11,38.600038,0,1,0
0.0,16,38.679579,0,2,0
-4.0,5,38.709287,0,2,0
3.0,9,38.748067,0,1,0
-10.0,10,38.793484,0,0,0
0.0,18,38.880892,0,1,0
-5.0,10,38.926646,0,0,0
-5.0,9,38.984796,0,3,0
-4.0,6,39.012589,0,3,0
4.0,9,39.071271,0,1,0
0.0,10,39.111552,0,0,0
0.0,13,39.16753,0,0,0
-4.0,14,39.245453,0,2,0
0.0,12,39.294252,0,2,0
0.0,9,39.333926,0,2,0
5.0,12,39.427922,0,2,0
1.0,10,39.493156,0,2,0
4.0,11,39.546066,0,1,0
18.0,11,39.596927,0,1,0
-4.0,10,39.64206,0,1,0
0.0,11,39.688864,0,0,0
0.0,14,39.754423,0,2,0
-6.0,22,39.881568,0,2,0
-4.0,8,39.921496,0,1,0
4.0,9,39.97192,0,1,0
6.0,15,40.065057,0,3,0
-5.0,6,40.091497,0,1,0
-5.0,10,40.142435,0,1,0
2.0,7,40.173036,0,2,0
-10.0,9,40.214367,0,1,0
9.0,8,40.256176,0,3,0
-5.0,11,40.330025,0,2,0
-4.0,10,40.387094,0,4,0
1.0,7,40.417331,0,2,0
9.0,12,40.472692,0,1,0
0.0,5,40.495995,0,2,0
-5.0,8,40.543519,0,1,0
0.0,10,40.604112,0,0,0
0.0,10,40.656134,0,3,0
6.0,22,40.80474,0,3,0
15.0,15,40.925473,0,2,0
-4.0,14,40.982956,0,2,0
14.0,8,41.035686,0,2,0
0.0,8,41.083015,0,0,0
-5.0,9,41.131868,0,1,0
0.0,9,41.181118,0,3,0
0.0,9,41.229547,0,0,0
-8.0,14,41.291362,0,0,0
0.0,8,41.33387,0,0,0
-9.0,8,41.371444,0,2,0
5.0,12,41.433613,0,1,0
0.0,5,41.453548,0,1,0
5.0,10,41.506484,0,0,0
9.0,10,41.572142,0,1,0
6.0,12,41.632915,0,3,0
0.0,7,41.66099,0,1,0
0.0,5,41.681117,0,2,0
-1.0,8,41.713947,0,1,0
-1.0,18,41.824053,0,1,0
1.0,12,41.887612,0,2,0
-4.0,10,41.958825,0,0,0
-4.0,8,41.999677,0,2,0
0.0,13,42.068523,0,3,0
0.0,18,42.162698,0,3,0
10.0,15,43.723907,0,1,0
4.0,10,43.782974,0,1,0
0.0,10,43.834619,0,1,0
1.0,11,43.917753,0,0,0
-4.0,11,43.97355,0,2,0
-4.0,7,44.016073,0,2,0
-3.0,6,44.050985,0,4,0
1.0,9,44.095032,0,5,0
-9.0,11,44.149958,0,0,0
-4.0,12,44.216361,0,2,0
0.0,14,44.294441,0,3,0
0.0,8,44.348805,0,0,0
5.0,9,44.401036,0,0,0
0.0,8,44.459257,0,2,0
5.0,15,44.552987,0,1,0
0.0,14,44.646238,0,1,0
1.0,10,44.700373,0,0,0
-1.0,8,44.745192,0,2,0
5.0,10,44.798378,0,2,0
4.0,13,44.858075,0,2,0
-3.0,10,44.907436,0,2,0
-4.0,8,44.953166,0,3,0
5.0,9,44.997935,0,2,0
-4.0,11,45.097424,0,2,0
-5.0,6,45.12265,0,1,0
0.0,14,45.194057,0,0,0
-4.0,10,45.239021,0,2,0
1.0,10,45.287613,0,2,0
-5.0,6,45.329799,0,0,0
4.0,10,45.3855,0,2,0
4.0,21,45.520522,0,2,0
-5.0,11,45.568624,0,1,0
-1.0,12,45.645814,0,1,0
10.0,7,45.679222,0,3,0
-1.0,14,45.742749,0,2,0
-9.0,13,45.799338,0,0,0
0.0,9,45.899281,0,1,0
-4.0,12,45.964171,0,2,0
5.0,20,46.061846,0,1,0
0.0,16,46.13265,0,1,0
0.0,11,46.228408,0,1,0
-5.0,10,46.280312,0,1,0
9.0,15,46.388179,0,1,0
-13.0,11,46.445344,0,2,0
-1.0,12,46.505332,0,2,0
-5.0,9,46.553152,0,0,0
-6.0,13,46.619661,0,1,0
-4.0,10,46.664742,0,1,0
-9.0,13,47.480065,0,2,0
10.0,10,47.537329,0,3,0
-9.0,7,47.587673,0,2,0
8.0,10,47.673168,0,2,0
1.0,11,47.739295,0,2,0
-4.0,11,47.798181,0,3,0
-5.0,11,47.855596,0,3,0
-4.0,10,47.924001,0,1,0
5.0,21,48.053682,0,0,0
0.0,16,48.132187,0,2,0
0.0,11,48.18513,0,1,0
-4.0,9,48.235191,0,1,0
0.0,8,48.281517,0,0,0
-4.0,12,48.336318,0,3,0
-5.0,17,48.422268,0,1,0
5.0,14,48.488667,0,2,0
