#{"t_start": 1685220598.6028614, "env_id": "Sokoban-arl-v0"}
r,l,t,all_boxes_on_target
-7.0,70,12.540853,False
-7.0,70,13.331802,False
-7.0,70,14.148201,False
-7.0,70,14.984792,False
-7.0,70,15.782787,False
-7.0,70,16.735161,False
-7.0,70,17.719219,False
-7.0,70,18.751168,False
-7.0,70,20.001215,False
-7.0,70,21.141356,False
-7.0,70,22.248552,False
-7.0,70,23.460853,False
-7.0,70,24.656513,False
-7.0,70,25.776482,False
-7.0,70,26.895237,False
-7.0,70,28.124805,False
-7.0,70,29.32364,False
-7.0,70,30.693309,False
-7.0,70,31.905924,False
-7.0,70,33.073135,False
-7.0,70,34.245234,False
-7.0,70,35.408262,False
-7.0,70,36.579043,False
-7.0,70,37.742846,False
-7.0,70,38.961864,False
5.6,54,39.895213,True
-7.0,70,41.111317,False
-7.0,70,42.480914,False
-7.0,70,43.744163,False
-7.0,70,103.050487,False
-7.0,70,104.297646,False
-7.0,70,105.537549,False
-7.0,70,106.749377,False
-7.0,70,108.004837,False
-7.0,70,109.270964,False
-7.0,70,110.692791,False
-7.0,70,111.937169,False
-7.0,70,113.235127,False
-7.0,70,114.481662,False
-7.0,70,115.729697,False
-7.0,70,116.999475,False
-7.0,70,118.254609,False
-7.0,70,119.532715,False
-7.0,70,120.798963,False
-7.0,70,122.213012,False
-7.0,70,123.470619,False
-7.0,70,124.705497,False
-7.0,70,125.975642,False
-7.0,70,127.191528,False
-7.0,70,128.426465,False
-7.0,70,129.711164,False
-7.0,70,130.946981,False
-7.0,70,132.159321,False
-7.0,70,133.595239,False
-7.0,70,134.835099,False
-7.0,70,136.042135,False
-7.0,70,137.290281,False
-7.0,70,138.549243,False
-7.0,70,198.681223,False
-7.0,70,199.904891,False
-7.0,70,201.116471,False
-7.0,70,202.291408,False
-7.0,70,203.702029,False
-7.0,70,204.968811,False
-7.0,70,206.272578,False
-7.0,70,207.484335,False
-7.0,70,208.721807,False
-7.0,70,209.943112,False
-7.0,70,211.219878,False
-7.0,70,212.504833,False
-7.0,70,213.759649,False
-7.0,70,215.191341,False
-7.0,70,216.428286,False
-7.0,70,217.704726,False
8.7,23,218.116345,True
-7.0,70,219.373001,False
-7.0,70,220.605614,False
-7.0,70,221.860002,False
-7.0,70,223.14413,False
-7.0,70,224.469169,False
-7.0,70,225.762278,False
-7.0,70,227.180701,False
-7.0,70,228.3841,False
-7.0,70,229.622399,False
-7.0,70,230.852819,False
-7.0,70,232.019623,False
-7.0,70,233.250883,False
-7.0,70,234.496235,False
-7.0,70,295.163619,False
-7.0,70,296.448203,False
-7.0,70,297.89965,False
-7.0,70,299.206538,False
-7.0,70,300.436123,False
-7.0,70,301.693337,False
-7.0,70,302.868001,False
-7.0,70,304.126411,False
6.2,48,305.013456,True
-7.0,70,306.261119,False
-7.0,70,307.545489,False
-7.0,70,308.970765,False
-7.0,70,310.239265,False
-7.0,70,311.461341,False
-7.0,70,312.702713,False
-7.0,70,313.960594,False
-7.0,70,315.232481,False
6.2,48,316.075588,True
-7.0,70,317.32882,False
-7.0,70,318.569397,False
-7.0,70,320.020637,False
-7.0,70,321.293283,False
-7.0,70,322.539597,False
-7.0,70,323.756068,False
-7.0,70,324.973674,False
-7.0,70,326.257637,False
-7.0,70,327.505719,False
-7.0,70,328.766106,False
-7.0,70,330.03812,False
-7.0,70,331.420618,False
-7.0,70,392.625105,False
-7.0,70,393.895816,False
-7.0,70,395.187125,False
-7.0,70,396.46082,False
-7.0,70,397.754948,False
-7.0,70,399.003758,False
-7.0,70,400.277793,False
-7.0,70,401.541673,False
-7.0,70,402.970513,False
-7.0,70,404.198722,False
-7.0,70,405.461516,False
-7.0,70,406.730452,False
-7.0,70,407.976301,False
-7.0,70,409.271921,False
-7.0,70,410.564012,False
-7.0,70,411.84345,False
-7.0,70,413.131148,False
-7.0,70,414.604097,False
-7.0,70,415.879434,False
-7.0,70,417.168808,False
-7.0,70,418.428859,False
-7.0,70,419.654324,False
-7.0,70,420.865679,False
-7.0,70,422.133167,False
-7.0,70,423.388923,False
-7.0,70,424.685372,False
-7.0,70,426.135869,False
-7.0,70,427.406643,False
-7.0,70,428.698009,False
-7.0,70,488.177332,False
-7.0,70,489.412999,False
-7.0,70,490.577313,False
-7.0,70,491.720496,False
-7.0,70,492.923356,False
-7.0,70,494.235263,False
5.3,57,495.436134,True
-7.0,70,496.690012,False
7.1,39,497.412156,True
-7.0,70,498.702321,False
-7.0,70,499.972312,False
-7.0,70,501.25625,False
-7.0,70,502.573054,False
-7.0,70,503.847849,False
-7.0,70,505.151528,False
-7.0,70,506.614187,False
-7.0,70,507.893073,False
-7.0,70,509.165913,False
-7.0,70,510.470713,False
-7.0,70,511.721648,False
-7.0,70,513.020974,False
-7.0,70,514.276774,False
-7.0,70,515.559195,False
-7.0,70,516.775586,False
-7.0,70,518.159622,False
-7.0,70,519.453012,False
-7.0,70,520.768355,False
-7.0,70,521.989037,False
-7.0,70,523.285401,False
-7.0,70,524.585176,False
-7.0,70,585.345364,False
-7.0,70,586.615818,False
-7.0,70,587.85684,False
-7.0,70,589.204563,False
-7.0,70,590.495584,False
-7.0,70,591.817141,False
-7.0,70,593.093633,False
-7.0,70,594.374316,False
-7.0,70,595.937286,False
-7.0,70,597.189583,False
-7.0,70,598.450309,False
-7.0,70,599.719975,False
-7.0,70,601.129424,False
6.9,41,601.889128,True
-7.0,70,603.156848,False
-7.0,70,604.444961,False
-7.0,70,605.708093,False
-7.0,70,606.944462,False
-7.0,70,608.229482,False
-7.0,70,609.525293,False
-7.0,70,610.768539,False
-7.0,70,612.069972,False
-7.0,70,613.456116,False
-7.0,70,614.753322,False
-7.0,70,616.016937,False
-7.0,70,617.359838,False
-7.0,70,618.662578,False
-7.0,70,619.899106,False
8.1,29,620.439715,True
4.8,62,621.596883,True
-7.0,70,622.911188,False
-7.0,70,682.732997,False
6.4,46,683.621155,True
-7.0,70,684.929307,False
-7.0,70,686.170487,False
7.4,36,686.832328,True
-7.0,70,688.119045,False
