#{"t_start": 1683586174.80365, "env_id": "sokoban_solver-turtle-v0"}
r,l,t
11.0,39,86.219074
10.0,20,135.848289
20.0,19,153.030436
21.0,17,153.156851
9.0,18,165.695621
21.0,12,183.003678
24.0,55,282.599587
11.0,41,333.073042
24.0,31,429.970691
12.0,2,444.544989
19.0,22,476.483873
12.0,35,495.64642
4.0,56,616.130676
10.0,82,800.769287
25.0,31,801.383536
7.0,27,899.701689
11.0,17,928.170418
11.0,31,953.78537
11.0,27,954.044427
6.0,125,1221.716928
9.0,40,1353.023581
3.0,38,1387.182544
28.0,25,1418.68407
14.0,23,1434.781135
14.0,22,1494.954707
11.0,31,1559.242173
11.0,23,1591.525166
14.0,44,1655.042561
2.0,125,2180.104018
27.0,21,2242.598528
21.0,30,2306.573702
19.0,18,2360.22132
20.0,14,2360.347296
9.0,64,2394.480681
13.0,28,2519.587664
12.0,21,2545.639885
16.0,24,2647.664497
17.0,56,2726.345805
2.0,34,2726.65647
0.0,25,2759.199349
28.0,43,2863.396835
21.0,54,2960.585549
7.0,48,3046.420573
12.0,20,3110.01429
10.0,63,3153.385974
29.0,58,3267.74802
21.0,43,3336.571675
20.0,19,3375.275275
9.0,73,3493.004887
21.0,59,3583.385952
31.0,55,3761.322676
11.0,13,3821.081421
20.0,23,3822.177451
10.0,38,4274.157207
16.0,29,4371.196639
15.0,12,4434.218168
-12.0,6,4454.635838
15.0,25,4498.608415
22.0,34,4627.613415
10.0,62,4712.551182
16.0,19,4759.843783
8.0,16,4799.643473
17.0,38,4909.699299
11.0,67,5010.6489
13.0,9,5025.967583
22.0,16,5042.046914
26.0,15,5105.18496
17.0,19,5151.457482
14.0,22,5178.858261
22.0,28,5179.345013
22.0,17,5195.464076
20.0,20,5211.439371
20.0,25,5241.278793
-2.0,21,5258.743608
14.0,29,5320.775537
15.0,114,5426.919656
19.0,26,5443.23965
14.0,16,5491.801323
14.0,23,5539.809586
13.0,36,5599.152536
20.0,21,5599.754555
12.0,17,5644.280584
22.0,29,5695.503256
14.0,16,5726.228077
14.0,28,5758.050649
15.0,63,5875.550373
24.0,35,5956.849088
22.0,15,6034.746355
9.0,9,6081.64471
11.0,36,6710.162853
21.0,20,6742.411113
11.0,19,6774.44176
9.0,32,6845.019206
15.0,30,6913.925572
6.0,60,7058.134863
10.0,45,7185.020244
19.0,14,7227.283872
21.0,47,7271.619511
20.0,26,7297.912958
24.0,21,7326.81671
12.0,26,7377.112633
31.0,21,7425.129202
14.0,23,7460.411123
1.0,71,7486.926592
18.0,17,7579.879705
14.0,20,7647.84768
24.0,31,7726.72613
19.0,18,7726.904056
8.0,23,7789.915535
25.0,26,7804.197062
24.0,23,7872.583249
21.0,22,7904.741638
16.0,53,7920.745428
2.0,23,7936.011228
5.0,17,7951.087756
12.0,19,8046.983727
17.0,27,8094.980789
14.0,32,8143.203948
6.0,14,8143.700336
14.0,42,8161.024639
19.0,14,8171.042048
10.0,21,8215.566435
42.0,17,8247.791505
8.0,17,8257.093752
22.0,22,8280.746
17.0,43,8737.093693
17.0,21,8752.71624
23.0,34,8784.956899
9.0,30,8906.889299
12.0,46,9005.144122
3.0,54,9071.345582
19.0,34,9139.732254
25.0,23,9233.233059
10.0,40,9381.114072
7.0,13,9398.924593
15.0,3,9408.63753
1.0,46,9525.955229
23.0,47,9574.608176
3.0,38,9653.991054
15.0,20,9670.262507
15.0,21,9670.910368
15.0,70,9735.322116
40.0,31,9788.830851
37.0,23,9841.933933
26.0,31,9861.616689
5.0,57,9922.364781
14.0,92,9999.897169
23.0,49,10082.071867
27.0,21,10115.524951
11.0,16,10167.41287
42.0,30,10209.644009
9.0,17,10240.111866
29.0,21,10254.807382
22.0,15,10270.312367
14.0,21,10300.301996
-4.0,29,10945.203318
20.0,46,10996.985776
24.0,18,11028.477194
10.0,25,11078.960175
25.0,25,11091.399887
19.0,62,11166.060192
23.0,22,11215.649978
19.0,27,11280.055432
9.0,19,11280.19118
12.0,18,11280.31516
7.0,54,11325.024315
12.0,28,11349.939485
10.0,14,11350.073066
19.0,14,11396.874286
35.0,14,11450.54934
2.0,125,11604.449684
8.0,24,11636.709702
19.0,27,11637.308288
15.0,15,11637.401103
4.0,71,11790.861474
4.0,26,11837.242951
22.0,68,11949.964051
9.0,15,11950.100356
24.0,35,12015.79985
19.0,21,12099.269591
27.0,18,12131.577559
10.0,65,12246.61224
10.0,28,12328.425276
10.0,109,13059.540821
9.0,76,13094.988356
34.0,14,13225.803902
20.0,32,13257.92492
24.0,33,13336.683082
17.0,21,13337.101777
21.0,15,13369.241617
12.0,20,13385.365426
4.0,34,13432.105458
14.0,22,13526.828412
8.0,125,13872.235256
21.0,16,13872.392851
15.0,30,13924.01087
5.0,125,14134.653049
7.0,25,14134.911926
10.0,27,14198.184787
21.0,34,14293.881454
9.0,17,14309.396318
25.0,18,14309.933402
16.0,33,14448.238184
10.0,45,14497.315603
24.0,22,14525.737519
