#{"t_start": 1683819387.3370466, "env_id": "sokoban_solver-turtle-v0"}
r,l,t,sol-length,crate,solver
15.0,20,5.177977,0,1,0
-3.0,2,9.992267,6,1,0.9
31.0,12,43.555834,16,1,0.05
7.0,24,119.924605,14,1,0.8
20.0,21,120.126897,0,1,0
20.0,26,140.878905,0,2,0
30.0,15,180.49173,14,2,0.1
15.0,22,192.034963,0,2,0
28.0,15,225.468031,14,1,0.0
9.0,24,232.835337,0,1,0
16.0,16,233.058868,0,1,0
10.0,17,256.105927,0,1,0
15.0,13,273.91541,0,0,0
15.0,12,291.764002,0,2,0
19.0,11,358.722459,0,1,0
10.0,21,437.706413,0,2,0
8.0,15,452.737004,0,1,0
12.0,33,477.106634,0,2,0
17.0,12,494.553526,0,3,0
9.0,33,540.51804,0,1,0
10.0,20,568.924223,0,0,0
5.0,10,582.654897,0,2,0
5.0,21,598.280623,0,1,0
17.0,14,598.733245,0,1,0
24.0,15,663.73734,0,1,0
17.0,25,677.660108,0,2,0
11.0,22,677.856964,0,1,0
15.0,18,694.21853,0,1,0
11.0,18,711.038866,2,1,1.0
28.0,25,755.538267,8,1,0.3
14.0,15,808.765067,0,2,0
12.0,29,832.332479,0,2,0
5.0,12,848.831601,0,1,0
14.0,8,852.015206,0,1,0
16.0,27,852.23979,0,1,0
15.0,17,918.304681,0,0,0
27.0,26,950.967017,0,2,0
18.0,18,951.183122,0,2,0
4.0,28,958.370267,0,2,0
24.0,20,967.31084,0,1,0
10.0,11,967.401592,0,1,0
5.0,11,967.498164,0,1,0
10.0,19,1000.095222,0,0,0
20.0,10,1000.222367,0,1,0
7.0,16,1000.358826,0,2,0
19.0,27,1055.408241,0,1,0
6.0,17,1072.125026,0,1,0
8.0,14,1072.302166,0,1,0
13.0,19,1082.012793,0,1,0
15.0,21,1114.177323,0,1,0
-2.0,7,1117.262343,4,1,0.9
24.0,10,1127.672145,0,1,0
25.0,19,1127.912573,0,3,0
10.0,21,1187.994013,0,2,0
7.0,13,1241.847008,0,1,0
19.0,9,1244.645723,0,1,0
2.0,30,1277.228932,0,1,0
19.0,15,1277.378568,0,1,0
15.0,10,1309.667257,0,1,0
22.0,20,1326.054618,0,1,0
1.0,32,1351.939008,0,2,0
12.0,59,1399.760369,0,1,0
17.0,12,1399.884637,0,1,0
21.0,23,1413.985903,6,1,0.25
14.0,28,1510.870526,0,1,0
20.0,15,1527.362605,0,2,0
14.0,17,1527.535505,0,2,0
19.0,29,1544.315293,0,1,0
19.0,16,1555.936594,0,1,0
19.0,13,1572.469759,0,1,0
20.0,16,1589.176737,0,1,0
5.0,13,1618.881618,0,1,0
29.0,14,1650.191745,0,1,0
10.0,23,1652.479643,0,1,0
25.0,24,1699.176948,0,2,0
12.0,20,1705.83669,5,1,0.7
7.0,17,1736.080138,0,3,0
22.0,16,1745.06816,0,2,0
9.0,10,1761.33817,0,1,0
33.0,16,1805.31038,4,1,0.5
14.0,15,1805.483291,0,1,0
15.0,15,1838.624505,0,0,0
15.0,25,1846.138235,0,2,0
5.0,28,1908.495809,0,2,0
0.0,21,1951.153797,0,1,0
4.0,8,1951.226021,0,1,0
20.0,15,1951.407243,0,2,0
14.0,9,1967.049905,3,1,0.05
21.0,36,2025.573859,0,0,0
10.0,28,2105.554957,0,0,0
17.0,24,2145.603852,0,2,0
13.0,9,2145.916209,0,1,0
9.0,17,2164.309672,0,1,0
35.0,17,2180.246741,0,0,0
5.0,16,2180.50121,0,1,0
10.0,30,2196.511631,0,1,0
0.0,21,2200.161784,7,1,0.85
1.0,45,2285.570236,0,2,0
16.0,20,2347.848603,0,2,0
13.0,12,2364.4864,0,3,0
21.0,19,2425.393288,10,2,0.45
24.0,12,2452.951443,0,1,0
7.0,15,2466.67546,0,1,0
19.0,25,2549.522377,0,1,0
5.0,16,2566.136424,0,0,0
14.0,16,2566.363977,0,1,0
12.0,60,2707.151019,0,2,0
19.0,33,2723.758759,0,2,0
9.0,18,2742.228804,0,2,0
19.0,28,2788.392084,0,1,0
21.0,38,2843.668667,0,3,0
3.0,10,2843.924061,0,3,0
16.0,12,2873.841746,0,1,0
7.0,14,2881.627739,0,2,0
19.0,12,2913.38794,0,1,0
5.0,26,2959.026889,0,0,0
13.0,17,2959.218595,0,1,0
34.0,13,2959.40905,0,1,0
22.0,11,2975.662461,0,1,0
8.0,46,3111.367745,0,2,0
13.0,11,3132.768115,0,2,0
14.0,28,3209.633918,0,1,0
0.0,40,3263.508241,0,1,0
18.0,36,3319.599873,0,3,0
16.0,2,3334.950392,6,1,0.05
15.0,29,3374.971027,0,2,0
5.0,18,3375.167796,0,1,0
5.0,24,3404.656677,0,2,0
15.0,25,3436.451028,0,0,0
10.0,11,3436.592289,0,1,0
10.0,10,3452.363185,0,2,0
5.0,22,3513.287968,0,2,0
5.0,24,3591.961821,0,3,0
7.0,17,3624.920683,0,3,0
-1.0,18,3655.424221,0,1,0
22.0,20,3709.065563,12,1,0.05
19.0,27,3724.323878,0,2,0
13.0,17,3736.595283,0,2,0
21.0,18,3769.213977,0,3,0
14.0,28,3769.500084,0,1,0
9.0,17,3783.627071,0,1,0
4.0,18,3800.480279,4,1,1.0
15.0,14,3815.650341,0,1,0
29.0,18,3832.336964,0,1,0
15.0,14,3832.443754,0,2,0
23.0,23,3840.796474,0,1,0
9.0,26,3954.1304,0,2,0
4.0,15,3985.447121,0,2,0
19.0,14,3985.684567,0,1,0
0.0,16,4011.483258,0,0,0
31.0,12,4056.006622,0,1,0
3.0,27,4168.689251,0,2,0
9.0,21,4233.399363,0,4,0
8.0,14,4318.008268,0,2,0
8.0,19,4365.902994,0,2,0
10.0,22,4441.715729,0,0,0
17.0,39,4499.07882,0,1,0
12.0,20,4563.202574,0,2,0
9.0,39,4655.929688,0,1,0
10.0,18,4656.1312,0,1,0
8.0,15,4676.365232,5,1,0.05
-7.0,8,4700.271343,5,1,0.85
7.0,68,4788.29966,0,2,0
34.0,15,4820.386452,0,1,0
7.0,22,4847.855406,0,1,0
12.0,18,4881.726591,0,1,0
10.0,12,4900.821102,0,1,0
7.0,13,4901.385529,0,1,0
10.0,8,4917.645426,0,0,0
21.0,11,4934.214753,0,3,0
16.0,10,4966.512336,0,2,0
17.0,14,4998.988215,0,2,0
10.0,13,5030.877329,0,2,0
10.0,24,5051.048256,0,2,0
15.0,18,5066.887465,0,1,0
5.0,18,5091.252382,0,1,0
19.0,13,5092.691355,0,1,0
19.0,24,5131.029556,0,1,0
14.0,12,5163.344411,0,2,0
13.0,17,5210.546781,0,2,0
2.0,10,5212.169337,0,3,0
14.0,21,5236.987184,0,2,0
5.0,14,5269.311109,0,1,0
14.0,30,5352.756821,5,1,0.0
22.0,12,5369.228296,0,1,0
10.0,17,5369.39802,0,1,0
19.0,21,5369.591095,0,1,0
-2.0,20,5422.791083,0,2,0
5.0,29,5472.564867,0,2,0
14.0,19,5545.023767,0,1,0
6.0,40,5632.062855,0,1,0
2.0,17,5664.136945,0,1,0
7.0,17,5713.941118,0,2,0
18.0,17,5771.627509,0,3,0
2.0,22,5811.69651,0,2,0
14.0,10,5877.085118,0,1,0
5.0,18,5878.52803,0,1,0
-1.0,29,5884.591828,4,1,0.95
0.0,29,5900.943341,0,2,0
21.0,13,5907.85255,0,2,0
17.0,18,5935.50264,0,2,0
20.0,51,5967.23944,0,1,0
7.0,16,5981.830739,0,3,0
5.0,28,5987.237112,0,1,0
5.0,56,6119.426995,0,4,0
15.0,14,6200.696759,0,2,0
21.0,36,6220.123116,0,1,0
4.0,22,6236.257368,0,1,0
5.0,26,6277.151642,0,2,0
10.0,22,6310.102441,0,2,0
-9.0,16,6310.250791,0,3,0
15.0,33,6340.876586,0,1,0
10.0,45,6435.475097,0,2,0
22.0,17,6435.634039,0,2,0
15.0,22,6435.863542,0,1,0
10.0,27,6436.168648,0,1,0
3.0,26,6477.196752,0,2,0
10.0,125,6694.113044,0,3,0
12.0,61,6776.839158,0,2,0
15.0,12,6790.541545,0,1,0
19.0,15,6822.768769,0,1,0
14.0,17,6857.683133,0,1,0
5.0,13,6889.649614,0,3,0
17.0,15,6905.770235,0,1,0
25.0,12,6964.382807,0,2,0
10.0,21,6999.58528,9,1,0.95
16.0,28,7031.922505,0,2,0
0.0,11,7040.477058,0,3,0
14.0,14,7056.683686,0,1,0
25.0,22,7102.197511,0,2,0
24.0,16,7135.972242,0,2,0
21.0,14,7151.62137,6,1,0.05
0.0,33,7176.212933,0,2,0
20.0,23,7203.471408,0,1,0
9.0,17,7203.652711,0,1,0
19.0,31,7270.343479,0,2,0
2.0,12,7270.476856,0,1,0
15.0,13,7270.593852,0,1,0
4.0,29,7305.814322,0,2,0
11.0,19,7307.796818,0,2,0
