#{"t_start": 1682355471.78624, "env_id": "sokoban-turtle-v0"}
r,l,t
5.0,7,3.331995
1.0,9,3.504065
5.0,15,3.656093
7.0,15,3.790193
4.0,10,3.898529
2.0,6,3.961797
2.0,17,4.104833
-2.0,7,4.176569
5.0,9,4.274938
-1.0,12,4.438769
-5.0,13,4.562359
-10.0,12,4.66328
-5.0,10,4.760076
4.0,14,4.872986
5.0,16,5.036556
-6.0,7,5.091661
-4.0,8,5.168575
0.0,6,5.227753
0.0,14,5.468819
11.0,10,5.551645
10.0,11,5.657712
-6.0,10,5.75254
9.0,9,5.836596
-2.0,14,5.997746
0.0,14,6.127908
-2.0,12,6.242078
10.0,9,6.335604
7.0,11,6.43762
-6.0,13,6.57332
4.0,17,6.724497
2.0,13,6.865306
4.0,12,6.988569
9.0,16,7.169903
-12.0,9,7.270952
-10.0,16,7.561331
-7.0,10,7.649392
9.0,10,7.759006
-8.0,11,7.945167
7.0,8,8.048341
7.0,12,8.24109
5.0,13,8.405536
-6.0,16,8.62707
0.0,14,8.892581
0.0,12,9.116571
4.0,10,9.299587
-5.0,7,9.420301
10.0,9,9.646736
0.0,12,9.920675
-8.0,16,10.323021
-10.0,11,10.594036
1.0,7,10.752274
13.0,13,11.11062
-2.0,20,11.750001
0.0,12,12.092453
3.0,9,12.354241
0.0,8,12.594803
-8.0,14,13.001362
-2.0,10,13.302601
13.0,12,13.655549
-1.0,10,13.918386
-5.0,15,14.335301
2.0,13,14.717025
-4.0,12,15.046386
-5.0,12,15.400529
4.0,7,15.620711
3.0,16,16.101467
-3.0,9,16.642458
0.0,7,16.850199
-2.0,8,17.077137
0.0,9,17.363287
2.0,5,17.585056
1.0,9,17.845401
0.0,9,18.1031
5.0,6,18.284215
-1.0,28,19.049764
-5.0,8,19.284838
7.0,16,19.788349
-7.0,8,20.057535
11.0,20,20.653657
-3.0,13,21.061885
-5.0,11,21.401216
8.0,10,21.690284
-2.0,6,21.850797
-3.0,15,22.283797
6.0,14,22.722793
10.0,8,22.96889
0.0,10,23.361738
-2.0,9,23.744024
-6.0,10,24.046774
5.0,7,24.243243
0.0,6,24.452675
8.0,13,24.809135
-5.0,15,25.291143
-9.0,8,25.520197
-14.0,8,25.739539
-4.0,14,26.159197
0.0,13,26.561123
-4.0,16,27.055393
-1.0,10,27.364831
10.0,10,27.669892
-10.0,12,28.00345
-3.0,10,28.31824
-9.0,9,28.591282
2.0,8,28.864848
3.0,14,29.33058
0.0,12,29.703455
4.0,12,30.13175
-5.0,10,30.466224
4.0,9,30.745945
4.0,9,31.03231
0.0,6,31.224616
13.0,15,31.70942
3.0,11,32.098488
-9.0,12,32.487978
-5.0,11,32.84935
4.0,8,33.12283
-9.0,10,33.44002
-13.0,9,33.727134
0.0,18,34.269212
2.0,14,34.684825
7.0,22,35.417363
-4.0,13,35.867757
-4.0,10,36.224612
4.0,6,36.494124
7.0,17,37.046783
-8.0,19,37.654434
9.0,12,38.061225
-2.0,8,38.334781
-9.0,10,38.631373
-3.0,9,38.942762
9.0,9,39.25967
2.0,11,39.594516
-5.0,8,39.86549
3.0,10,40.18723
0.0,8,40.418259
4.0,10,40.731049
5.0,17,41.259764
-2.0,8,41.513936
-6.0,14,41.957997
4.0,10,42.265826
-14.0,18,42.890702
0.0,6,43.177072
15.0,12,43.561342
-9.0,10,43.906246
-9.0,13,44.34346
-6.0,12,44.680644
6.0,14,45.140106
16.0,11,45.515853
-14.0,13,45.944008
1.0,13,46.359411
5.0,26,47.276499
