#{"t_start": 1679137067.146416, "env_id": "sokoban-turtle-v0"}
r,l,t
-6.0,10,9.260604
10.0,8,9.289376
-3.0,15,9.328205
7.0,11,9.376238
2.0,7,9.392781
-2.0,13,9.43638
-10.0,7,9.457489
0.0,8,9.483649
-2.0,9,9.520803
9.0,25,9.636396
0.0,11,9.692833
0.0,18,9.778064
14.0,10,9.824036
3.0,14,9.883207
1.0,14,9.929906
4.0,5,9.951047
9.0,6,9.97009
10.0,12,10.014599
-4.0,17,10.069404
6.0,15,10.130717
10.0,19,10.20974
11.0,16,10.284836
5.0,8,10.323121
0.0,6,10.35698
-2.0,19,10.432077
6.0,8,10.468434
-5.0,7,10.492851
8.0,13,10.547184
11.0,7,10.572608
0.0,11,10.62289
17.0,12,10.666933
9.0,10,10.696191
-5.0,14,10.745747
7.0,14,10.798958
-3.0,12,10.829729
10.0,13,10.880997
3.0,19,10.945588
0.0,12,10.973504
0.0,10,11.007324
8.0,18,11.065117
10.0,8,11.09208
5.0,6,11.120138
2.0,12,11.172462
11.0,6,11.201476
-3.0,16,11.266435
9.0,7,11.30231
7.0,14,11.360284
-19.0,15,11.423715
15.0,10,11.45639
12.0,8,11.490143
6.0,10,11.544308
0.0,8,11.577652
5.0,13,11.654647
-3.0,12,11.70725
16.0,9,11.751209
-5.0,16,11.817971
-2.0,14,11.869545
12.0,22,11.979117
1.0,15,12.035809
1.0,10,12.079357
5.0,12,12.121491
1.0,17,12.175481
-4.0,9,12.204864
7.0,9,12.246517
-9.0,16,12.304831
7.0,7,12.329061
-10.0,10,12.362344
10.0,10,12.393379
7.0,11,12.431499
1.0,9,12.469033
0.0,10,12.510006
-2.0,8,12.542965
4.0,8,12.589674
6.0,12,12.642842
9.0,15,12.708811
6.0,7,12.739693
-2.0,7,12.780416
3.0,16,12.85341
-5.0,9,12.882839
0.0,6,12.898785
-1.0,16,12.934752
0.0,11,12.968577
19.0,8,13.004817
3.0,10,13.037002
2.0,6,13.056831
-2.0,8,13.083538
12.0,8,13.122005
6.0,6,13.145134
11.0,9,14.577338
-4.0,9,14.597597
-8.0,7,14.615379
-5.0,8,14.634848
0.0,8,14.656704
-5.0,23,14.721877
0.0,12,14.751179
0.0,11,14.783435
4.0,18,14.835302
-2.0,15,14.89413
-5.0,11,14.93322
11.0,12,14.982349
-5.0,13,15.032502
-7.0,12,15.090652
-2.0,10,15.129637
9.0,11,15.175228
-2.0,8,15.205181
-1.0,9,15.249029
5.0,13,15.302888
1.0,6,15.329102
7.0,8,15.359663
3.0,15,15.414185
-2.0,13,15.469006
-4.0,9,15.503665
2.0,11,15.553514
-3.0,10,15.591816
8.0,8,15.622966
4.0,12,15.689067
6.0,10,15.728832
8.0,10,15.763133
6.0,12,15.814914
4.0,13,15.87083
10.0,10,15.905382
-9.0,15,15.954828
-4.0,6,15.976075
1.0,24,16.076821
4.0,14,16.127994
16.0,8,16.163962
-6.0,20,16.250582
-4.0,14,16.302586
-5.0,8,16.340794
12.0,11,16.382781
11.0,25,16.466134
-4.0,11,16.504086
1.0,17,16.552723
0.0,11,16.578149
3.0,8,16.602251
-6.0,13,16.644845
10.0,8,16.669472
-3.0,8,16.693405
0.0,6,16.71697
-4.0,7,16.745833
-8.0,16,16.785568
2.0,10,16.810773
-2.0,10,16.855078
1.0,13,16.897032
4.0,14,16.933355
-6.0,9,16.957256
0.0,7,16.988736
-1.0,6,17.005364
3.0,9,17.025591
8.0,20,17.088529
-5.0,7,17.111553
9.0,21,17.18218
-5.0,19,17.243573
1.0,7,17.2707
14.0,10,17.304381
3.0,11,17.338971
-5.0,6,17.354745
0.0,9,17.391104
-3.0,10,17.41718
17.0,13,17.475159
11.0,11,17.525654
2.0,13,17.570995
6.0,9,17.603053
-1.0,15,17.658935
2.0,10,17.695
16.0,18,17.755877
9.0,10,17.797805
0.0,18,17.867108
6.0,15,17.923422
1.0,15,17.975061
4.0,15,18.033229
5.0,6,18.049266
9.0,17,18.117603
4.0,13,19.50254
0.0,7,19.520184
8.0,8,19.536927
5.0,8,19.556433
0.0,7,19.571415
-5.0,13,35.564718
2.0,10,35.590441
8.0,14,35.631459
12.0,12,35.666721
-5.0,8,35.69156
0.0,7,35.711349
3.0,11,35.744088
-1.0,9,35.771551
-2.0,10,35.808576
-6.0,9,35.83376
1.0,13,35.872887
5.0,10,35.902962
11.0,5,35.917882
1.0,13,35.9559
7.0,13,35.991894
6.0,17,36.039035
9.0,9,36.064661
5.0,9,36.089231
1.0,9,36.112851
-4.0,10,36.140037
4.0,7,36.159036
-2.0,8,36.179338
3.0,12,36.213261
0.0,20,36.270891
-5.0,7,36.287503
-12.0,7,36.305689
2.0,6,36.322332
-4.0,7,36.34285
15.0,14,36.376227
0.0,9,36.399741
0.0,8,36.418096
0.0,5,36.431512
2.0,13,36.462193
4.0,6,36.478939
15.0,11,36.510206
3.0,14,36.549519
-4.0,14,36.588114
1.0,10,36.613153
-4.0,17,36.652652
-5.0,11,36.675358
12.0,11,36.700872
3.0,8,36.720952
-3.0,24,36.778301
0.0,6,36.789724
11.0,9,36.807062
-6.0,15,36.836351
-9.0,11,36.857191
1.0,8,36.87417
1.0,5,36.888549
-8.0,19,36.939644
9.0,11,36.965884
7.0,10,36.992926
1.0,12,37.021131
0.0,15,37.052441
4.0,17,37.095576
16.0,9,37.11864
14.0,10,37.143878
6.0,13,37.174205
6.0,6,37.189902
0.0,15,37.227318
-4.0,16,37.266171
-5.0,10,37.293638
0.0,11,37.31756
-1.0,9,37.337834
7.0,13,37.368224
2.0,7,37.387476
-1.0,23,37.446008
7.0,9,37.465309
-6.0,9,37.4881
0.0,10,37.513894
-1.0,7,37.528979
12.0,10,37.551709
-8.0,11,37.579649
-4.0,8,37.596699
5.0,20,37.642456
0.0,10,37.665716
-4.0,16,37.706855
-1.0,9,37.731311
6.0,11,37.759108
2.0,16,37.799029
14.0,11,37.825983
-2.0,22,37.882065
5.0,10,37.906956
7.0,7,37.923634
4.0,12,37.955412
-6.0,9,37.973427
-4.0,11,39.29371
5.0,13,39.329598
4.0,7,39.344814
7.0,9,39.370236
12.0,9,39.39007
2.0,11,39.413157
9.0,18,39.452419
6.0,8,39.469305
5.0,11,39.491648
-7.0,14,39.521998
1.0,11,39.548395
9.0,14,39.594376
11.0,11,39.622295
5.0,15,39.662681
-2.0,12,39.697651
-5.0,6,39.712998
12.0,9,39.739356
6.0,12,39.776477
5.0,11,39.807406
0.0,13,39.84687
-4.0,11,39.881038
2.0,5,39.896336
5.0,17,39.944052
1.0,9,39.966127
-9.0,10,39.990548
3.0,9,40.012423
0.0,8,40.033383
6.0,13,40.065091
0.0,7,40.084277
0.0,11,40.114723
-7.0,11,40.14561
7.0,12,40.174738
7.0,8,40.192789
2.0,11,40.223956
-4.0,9,40.244047
6.0,11,40.267633
-1.0,9,40.292921
20.0,14,40.328652
0.0,7,40.347624
8.0,13,40.381285
5.0,13,40.415624
12.0,6,40.432243
9.0,16,40.474445
2.0,11,40.505517
16.0,8,40.528713
6.0,7,40.547353
2.0,15,40.590892
5.0,20,40.642685
5.0,9,40.666347
-1.0,8,40.685478
-2.0,6,40.698505
16.0,12,40.726302
9.0,15,40.761071
6.0,17,40.801326
0.0,11,40.828017
-9.0,10,40.849263
18.0,12,40.877843
6.0,7,40.894625
4.0,10,40.914871
14.0,11,40.941227
-4.0,6,40.955604
1.0,6,40.972823
9.0,7,40.990588
11.0,12,41.018324
0.0,8,41.039454
-7.0,7,41.05567
6.0,12,41.080969
16.0,6,41.096768
-4.0,9,41.115182
-8.0,15,41.144275
9.0,16,41.176192
8.0,17,41.21021
1.0,6,41.222861
2.0,9,41.24058
7.0,11,41.2625
2.0,9,41.29196
4.0,11,41.316802
7.0,9,41.340536
11.0,20,41.389357
1.0,7,41.406205
4.0,9,41.430235
0.0,11,41.455602
4.0,15,41.496086
-3.0,11,41.525802
11.0,9,41.550613
14.0,16,41.589753
6.0,16,41.644097
4.0,9,41.681704
4.0,7,41.704036
7.0,8,41.723222
-2.0,9,41.744344
1.0,10,41.76576
7.0,13,41.796063
13.0,10,42.999885
-8.0,8,43.022932
2.0,8,43.043114
4.0,13,43.078596
-3.0,11,43.108447
-1.0,7,43.128572
13.0,8,43.151999
4.0,11,43.184098
8.0,13,43.220032
2.0,11,43.250595
-3.0,12,66.553439
5.0,7,66.582348
5.0,14,66.668727
-3.0,9,66.722574
6.0,13,66.788773
1.0,10,66.839099
-5.0,6,66.862292
11.0,9,66.902287
6.0,16,66.971554
10.0,8,67.012207
13.0,9,67.050658
-2.0,11,67.094349
-4.0,12,67.137978
-3.0,10,67.18235
-2.0,10,67.216818
0.0,10,67.254462
7.0,11,67.281834
10.0,18,67.337296
0.0,14,67.375127
14.0,12,67.416739
1.0,12,67.446796
0.0,13,67.474742
0.0,9,67.504047
-4.0,14,67.55606
4.0,12,67.585305
11.0,10,67.614208
0.0,9,67.642524
5.0,10,67.675924
6.0,7,67.705575
1.0,12,67.740452
6.0,7,67.760398
0.0,17,67.82313
7.0,13,67.883464
0.0,6,67.905054
10.0,8,67.948808
6.0,11,67.989618
5.0,11,68.035055
-4.0,9,68.081059
-4.0,7,68.119012
-6.0,14,68.18933
6.0,10,68.235007
11.0,9,68.267437
-2.0,9,68.291977
8.0,14,68.346413
16.0,13,68.387407
-4.0,6,68.412802
4.0,11,68.455832
0.0,11,68.493391
6.0,13,68.547376
9.0,12,68.60482
-9.0,6,68.636799
10.0,14,68.716815
2.0,10,68.758281
-4.0,17,68.814487
-2.0,10,68.841223
-2.0,10,68.880013
4.0,8,68.908788
5.0,8,68.933021
5.0,9,68.967394
-2.0,10,69.011294
-2.0,7,69.032883
15.0,11,69.083899
-3.0,14,69.135336
13.0,10,69.17523
9.0,13,69.231012
3.0,14,69.278822
-7.0,16,69.346424
5.0,5,69.372515
-1.0,10,69.413618
-4.0,21,69.492639
15.0,10,69.517091
8.0,11,69.547083
3.0,9,69.582365
11.0,12,69.616789
3.0,11,69.668802
0.0,6,69.696942
23.0,10,69.751981
4.0,11,69.798797
0.0,13,69.848288
9.0,14,69.902857
5.0,9,69.944889
6.0,10,69.988792
6.0,12,70.037359
2.0,8,71.431051
6.0,11,71.462115
14.0,14,71.504267
6.0,13,71.545803
-2.0,10,71.587548
7.0,16,71.644964
5.0,10,71.679384
7.0,9,71.708505
-4.0,11,71.742332
-3.0,9,71.780376
-5.0,16,71.826176
-3.0,7,71.840095
11.0,23,71.924837
6.0,6,71.946161
-3.0,10,71.969676
-5.0,13,72.003445
1.0,8,72.023375
3.0,12,72.066615
11.0,8,72.109226
1.0,15,72.175084
13.0,12,72.232812
4.0,16,72.302478
2.0,15,72.358528
10.0,11,72.400548
11.0,10,72.440812
11.0,13,72.490528
-5.0,10,72.532552
-4.0,12,72.583221
-10.0,21,72.681757
2.0,13,72.759813
9.0,11,72.80669
11.0,8,72.835036
9.0,11,72.876449
-1.0,11,72.920847
12.0,9,72.961704
5.0,15,73.011827
1.0,15,73.074101
9.0,13,73.155239
0.0,12,73.204789
12.0,14,73.256409
21.0,23,73.355565
7.0,9,73.396815
8.0,11,73.448837
-4.0,11,73.504913
7.0,9,73.549144
1.0,11,73.598044
4.0,10,73.638981
6.0,12,73.694894
18.0,9,73.743414
0.0,16,73.816797
2.0,8,73.859651
0.0,6,73.88684
11.0,11,73.930265
-3.0,12,73.98095
6.0,9,74.012445
6.0,14,74.054989
11.0,14,74.100093
6.0,8,74.146733
2.0,7,74.184841
14.0,9,74.230745
8.0,12,74.277743
-5.0,18,74.372858
4.0,12,74.423383
0.0,9,74.456751
15.0,17,74.529726
-2.0,6,74.554453
-1.0,22,74.631756
6.0,13,74.681118
15.0,15,74.732474
11.0,6,74.74639
2.0,6,74.761874
5.0,16,74.812939
10.0,9,74.842282
5.0,14,74.883497
4.0,7,74.904631
5.0,11,74.939537
9.0,8,74.95945
4.0,7,74.974602
-2.0,11,75.016139
6.0,17,75.057172
-1.0,13,75.089491
5.0,13,75.115729
-2.0,14,75.178194
-3.0,8,75.204476
7.0,19,75.255579
-2.0,8,76.720334
6.0,8,76.74186
9.0,11,76.782851
0.0,7,76.804202
7.0,10,76.840785
-10.0,21,76.901823
-3.0,13,76.948814
7.0,13,76.984744
4.0,10,77.021226
11.0,7,77.040286
-2.0,15,77.096377
9.0,9,77.126817
12.0,11,77.161035
2.0,18,119.962126
7.0,14,120.068824
1.0,11,120.119786
2.0,7,120.143784
11.0,10,120.175644
6.0,8,120.207117
4.0,10,120.240248
-1.0,9,120.265465
-2.0,11,120.308991
1.0,9,120.341139
11.0,9,120.378985
14.0,22,120.488766
4.0,10,120.52646
10.0,10,120.564811
5.0,8,120.602356
13.0,10,120.640817
-2.0,21,120.710902
-4.0,8,120.736395
11.0,12,120.779282
5.0,8,120.809204
-1.0,28,120.91046
-1.0,12,120.943509
17.0,22,121.017615
11.0,14,121.059298
-9.0,11,121.097999
5.0,15,121.158494
2.0,9,121.194645
13.0,7,121.219334
5.0,9,121.257662
-3.0,13,121.306443
10.0,11,121.343607
15.0,11,121.387011
19.0,13,121.428038
9.0,10,121.465755
-4.0,9,121.500566
-6.0,13,121.554094
18.0,13,121.605644
-12.0,11,121.638197
11.0,7,121.657321
5.0,11,121.697243
21.0,10,121.746559
9.0,8,121.769064
4.0,9,121.811724
7.0,11,121.857265
11.0,10,121.888792
2.0,10,121.936093
4.0,10,121.967014
10.0,8,122.011377
-6.0,10,122.055259
0.0,9,122.096875
4.0,15,122.15856
-7.0,21,122.240819
8.0,12,122.288807
2.0,17,122.360455
2.0,13,122.405866
5.0,18,122.490368
-1.0,14,122.541347
-3.0,8,122.572628
-2.0,7,122.600461
-2.0,10,122.643498
16.0,13,122.703709
-2.0,6,122.732275
-4.0,15,122.783544
7.0,16,122.838298
4.0,9,122.873832
2.0,10,122.913263
12.0,17,122.986731
19.0,21,123.077316
13.0,13,123.131788
12.0,14,123.183564
0.0,8,123.218004
11.0,13,123.269167
-5.0,11,124.671004
12.0,11,124.700818
21.0,15,124.762952
16.0,13,124.816832
0.0,6,124.836261
14.0,10,124.872775
8.0,10,124.902148
8.0,14,124.952608
20.0,9,124.988124
-2.0,8,125.022544
-2.0,14,125.071731
1.0,15,125.118251
5.0,14,125.160582
1.0,8,125.191596
-1.0,13,125.245085
0.0,15,125.288173
2.0,6,125.306627
10.0,10,125.346503
16.0,8,125.386324
1.0,8,125.424294
11.0,9,125.462405
-2.0,15,125.510576
0.0,12,125.544157
6.0,19,125.602351
-3.0,15,125.648293
5.0,12,125.68943
0.0,5,125.706945
5.0,23,125.778502
3.0,6,125.796907
16.0,12,125.84193
-4.0,8,125.871135
6.0,17,125.948625
9.0,12,126.005868
19.0,14,126.0441
7.0,14,126.085807
1.0,12,126.126864
21.0,15,126.185238
6.0,9,126.205612
4.0,10,126.248664
0.0,11,126.276169
-8.0,11,126.31115
1.0,9,126.339447
-2.0,9,126.373513
20.0,9,126.399498
8.0,18,126.466776
6.0,15,126.522062
1.0,17,126.583643
5.0,6,126.606084
3.0,8,126.634286
-2.0,13,126.685109
8.0,9,126.711325
3.0,14,126.756759
20.0,19,126.829337
9.0,13,126.877456
0.0,21,126.943576
