#{"t_start": 1678982651.3287823, "env_id": "sokoban-turtle-v0"}
r,l,t
0.0,11,17.15391
0.0,8,17.181188
-4.0,9,17.205204
-5.0,17,17.245965
1.0,11,17.278311
5.0,15,17.321806
1.0,9,17.357064
10.0,7,17.378062
0.0,12,17.419203
1.0,17,17.467946
-13.0,10,17.499005
10.0,11,17.540325
2.0,10,17.571697
0.0,8,17.594025
2.0,10,17.623578
10.0,10,17.653064
7.0,11,17.682649
16.0,10,17.722548
6.0,9,17.756155
-4.0,5,17.770203
2.0,14,17.816614
-1.0,10,17.85433
0.0,15,17.915241
0.0,12,17.955855
-5.0,8,17.988313
0.0,5,18.008033
-4.0,12,18.052534
0.0,11,18.090335
10.0,7,18.118805
0.0,13,18.1685
-3.0,9,18.195746
-4.0,12,18.239145
5.0,8,18.265031
7.0,13,18.312667
10.0,11,18.361184
0.0,8,18.393442
-3.0,10,18.42763
0.0,7,18.460518
-10.0,13,18.51825
2.0,16,18.59055
-8.0,12,18.636774
5.0,8,18.666739
2.0,8,18.697259
5.0,14,18.744171
20.0,16,18.816467
-3.0,19,18.876612
-8.0,16,18.947777
0.0,10,18.987806
6.0,8,19.030451
5.0,10,19.060211
7.0,14,19.106137
2.0,15,19.158431
2.0,7,19.19023
-5.0,19,19.261834
0.0,6,19.285446
6.0,11,19.332255
5.0,9,19.367257
11.0,14,19.4104
9.0,10,19.455679
-5.0,10,19.49759
5.0,9,19.533555
0.0,10,19.57056
-5.0,7,19.597255
11.0,9,19.628673
-8.0,6,19.65065
-4.0,9,19.690453
-5.0,8,19.715225
11.0,7,19.740699
21.0,13,19.789475
-4.0,8,19.81267
15.0,12,19.85135
0.0,8,19.873602
-4.0,7,19.890524
-7.0,10,19.918565
7.0,15,19.969879
6.0,15,20.040159
0.0,5,20.057279
7.0,8,20.084889
11.0,13,20.13869
4.0,8,20.168365
6.0,7,20.192385
2.0,14,20.239602
-4.0,10,20.276091
6.0,10,20.322446
4.0,9,20.353548
11.0,9,20.37781
6.0,16,20.434651
11.0,9,20.464687
7.0,14,20.497885
-4.0,20,20.573518
6.0,12,20.615797
2.0,17,20.669012
5.0,14,22.070243
16.0,10,22.093169
0.0,10,22.115124
-12.0,9,22.136519
12.0,10,22.165551
0.0,10,22.192312
-4.0,8,22.216403
6.0,29,22.289876
0.0,12,22.327007
-4.0,8,22.350439
-4.0,10,22.382509
7.0,12,22.430446
11.0,13,22.476361
9.0,10,22.524913
-13.0,9,22.562414
0.0,12,22.603905
5.0,12,22.642361
5.0,8,22.676624
-6.0,8,22.69928
-4.0,9,22.722596
-10.0,17,22.766712
1.0,11,22.80413
6.0,16,22.855953
8.0,16,22.897708
0.0,13,22.929106
-5.0,18,22.976524
2.0,8,22.994319
0.0,8,23.028834
1.0,7,23.050364
-4.0,8,23.084617
6.0,10,23.114259
0.0,13,23.145688
0.0,11,23.187153
-2.0,13,23.227363
9.0,10,23.267297
9.0,7,23.287901
2.0,8,23.318675
0.0,8,23.348269
0.0,11,23.386549
-8.0,10,23.419008
2.0,13,23.453431
5.0,5,23.464063
-1.0,11,23.489226
5.0,7,23.505431
2.0,15,23.564083
-4.0,9,23.59385
9.0,12,23.625872
0.0,7,23.65238
-4.0,11,23.70159
16.0,9,23.74245
6.0,12,23.794324
2.0,8,23.823198
10.0,12,23.870858
3.0,11,23.905844
15.0,7,23.929629
5.0,8,23.95045
3.0,16,23.999493
7.0,14,24.032842
6.0,11,24.07531
10.0,12,24.134431
-2.0,16,24.182445
-4.0,10,24.2304
0.0,9,24.25613
10.0,13,24.298326
3.0,15,24.344521
5.0,11,24.378192
1.0,13,24.432397
6.0,18,24.490478
5.0,14,24.522397
1.0,13,24.56388
11.0,7,24.584037
6.0,14,24.62131
0.0,13,24.664418
0.0,7,24.696178
5.0,13,24.754429
-4.0,5,24.774852
5.0,14,24.82464
2.0,16,24.892998
-4.0,18,24.964981
-5.0,10,25.00977
5.0,13,25.064582
7.0,12,25.116288
-3.0,10,25.154888
6.0,16,25.223602
2.0,8,25.252779
5.0,10,25.294705
10.0,14,25.35347
2.0,15,25.410502
-13.0,20,26.759677
2.0,12,26.813478
-3.0,10,26.84439
1.0,14,118.820419
6.0,9,118.86652
-9.0,9,118.895132
6.0,10,118.934168
5.0,8,118.96639
5.0,15,119.012818
-4.0,7,119.034536
2.0,8,119.057697
-4.0,11,119.098308
2.0,7,119.127865
-9.0,10,119.157033
10.0,11,119.19989
7.0,11,119.247877
1.0,16,119.294568
15.0,9,119.322584
2.0,9,119.356516
11.0,14,119.410802
-8.0,9,119.447954
5.0,10,119.488198
0.0,12,119.554733
5.0,21,119.650447
6.0,13,119.712653
16.0,10,119.754456
0.0,13,119.827826
11.0,10,119.864116
0.0,8,119.895007
11.0,13,119.956741
7.0,11,120.004849
15.0,12,120.058428
-4.0,6,120.080416
7.0,12,120.116815
0.0,7,120.148362
20.0,9,120.179972
9.0,11,120.222201
11.0,11,120.272332
7.0,9,120.307806
0.0,8,120.337975
-4.0,8,120.36705
0.0,11,120.410394
0.0,9,120.449875
6.0,6,120.474436
0.0,14,120.533688
1.0,6,120.548052
0.0,9,120.582193
-3.0,17,120.650899
7.0,11,120.690778
11.0,7,120.709145
3.0,14,120.758562
0.0,6,120.775792
2.0,11,120.808213
6.0,12,120.848142
11.0,12,120.906436
5.0,7,120.93129
0.0,6,120.976507
10.0,10,121.033679
-4.0,9,121.069133
-4.0,12,121.11703
2.0,15,121.167864
-4.0,17,121.236786
5.0,9,121.272054
-4.0,12,121.31668
0.0,11,121.367161
8.0,17,121.408714
6.0,13,121.448456
-5.0,8,121.4814
11.0,11,121.522406
1.0,6,121.550874
1.0,6,121.578027
-3.0,20,121.675752
0.0,10,121.732311
2.0,6,121.762436
-3.0,22,121.860465
1.0,11,121.904805
0.0,10,121.938428
0.0,8,121.969689
7.0,8,122.002932
-4.0,8,122.033544
0.0,5,122.059907
10.0,8,122.086111
9.0,7,122.116004
-4.0,9,122.156808
7.0,23,122.25002
6.0,10,122.289539
-4.0,16,122.34339
8.0,12,122.378703
10.0,14,122.427824
4.0,16,122.469131
4.0,11,122.50243
2.0,16,123.876428
6.0,11,123.91251
-4.0,9,123.946142
2.0,9,123.978435
6.0,7,124.002936
2.0,12,124.052144
-9.0,6,124.072003
2.0,11,124.120471
-2.0,15,124.173153
0.0,16,124.257192
6.0,8,124.291911
6.0,12,124.339889
11.0,12,124.395672
-1.0,16,124.455966
15.0,7,124.480902
-4.0,14,124.524003
-3.0,9,124.544122
6.0,8,124.566411
-4.0,17,124.625123
-4.0,9,124.659459
5.0,16,124.713055
6.0,19,124.795935
8.0,8,124.836939
16.0,17,124.897744
-3.0,10,124.933907
5.0,17,124.986558
1.0,12,125.031853
15.0,12,125.08722
0.0,18,125.160042
0.0,8,125.200246
2.0,11,125.250424
0.0,10,125.294686
15.0,8,125.320187
-5.0,13,125.355169
-4.0,12,125.386505
0.0,7,125.414506
1.0,11,125.451884
-4.0,14,125.524528
-2.0,16,125.574681
6.0,8,125.609631
6.0,20,125.69776
-4.0,16,125.756724
6.0,21,125.825751
-2.0,16,125.881692
6.0,8,125.911987
11.0,7,125.936542
-5.0,5,125.959588
4.0,7,125.992469
2.0,9,126.018395
12.0,6,126.039253
-1.0,17,126.089103
-13.0,10,126.116181
1.0,10,126.151727
-10.0,11,126.192322
1.0,9,126.232169
9.0,7,126.256172
0.0,5,126.271203
-4.0,9,126.308408
5.0,10,126.34442
-5.0,12,126.376195
11.0,8,126.401315
-5.0,9,126.424822
-4.0,10,126.464679
11.0,15,126.52716
1.0,8,126.550201
0.0,10,126.578702
0.0,8,126.595346
10.0,8,126.619251
11.0,8,126.648461
15.0,16,126.710613
0.0,9,126.748721
-4.0,14,126.803514
11.0,26,126.888177
5.0,11,126.930405
5.0,17,126.976571
-4.0,12,127.017963
0.0,15,127.08379
13.0,14,127.113608
6.0,14,127.155445
6.0,9,127.189077
10.0,11,127.221106
0.0,12,127.262467
10.0,6,127.281222
-4.0,12,127.335999
0.0,12,127.375178
7.0,14,127.420964
16.0,8,127.446436
-5.0,15,128.798366
-4.0,8,128.815442
2.0,9,128.837958
2.0,11,128.865838
-4.0,8,128.881464
-4.0,9,128.904408
4.0,10,128.92954
6.0,8,128.956671
-8.0,16,129.003026
5.0,9,129.02898
1.0,9,200.122057
6.0,5,200.204973
7.0,17,200.294024
0.0,9,200.322592
2.0,14,200.372534
7.0,12,200.407049
-1.0,9,200.451979
-2.0,12,200.498527
-5.0,13,200.537636
-2.0,9,200.559012
6.0,12,200.586677
-4.0,8,200.614441
5.0,14,200.681493
-3.0,12,200.71789
2.0,10,200.750317
1.0,14,200.806641
6.0,13,200.839999
6.0,11,200.872237
11.0,11,200.906894
-4.0,7,200.925067
-2.0,19,200.989633
-4.0,8,201.019212
15.0,10,201.041669
-2.0,10,201.082274
-10.0,10,201.115503
11.0,7,201.144675
-4.0,7,201.159728
10.0,10,201.186963
5.0,7,201.220297
15.0,11,201.259501
-2.0,10,201.286284
0.0,9,201.313999
6.0,12,201.366504
-4.0,14,201.399761
1.0,11,201.434206
2.0,9,201.460091
6.0,13,201.485638
10.0,7,201.506495
-7.0,11,201.540337
-4.0,16,201.584244
1.0,13,201.620848
6.0,16,201.664371
7.0,11,201.699837
7.0,16,201.731838
-5.0,5,201.743104
4.0,14,201.780332
1.0,11,201.808479
8.0,18,201.854373
10.0,8,201.877149
-9.0,12,201.906421
0.0,10,201.931936
5.0,8,201.949389
-3.0,10,201.976418
4.0,8,202.004096
2.0,18,202.066445
1.0,6,202.083801
-12.0,10,202.110045
10.0,13,202.156402
-4.0,6,202.170899
-5.0,10,202.195936
10.0,15,202.233084
4.0,12,202.26856
5.0,14,202.304986
2.0,13,202.344626
1.0,14,202.386781
11.0,10,202.410921
-4.0,13,202.445285
13.0,9,202.468667
0.0,6,202.494896
-4.0,8,202.514746
7.0,11,202.540839
11.0,15,202.591127
5.0,13,202.626814
5.0,10,202.657934
1.0,14,202.703604
6.0,9,202.734912
12.0,13,202.783257
2.0,10,202.80827
-5.0,9,202.838577
6.0,8,202.87079
0.0,9,202.900768
10.0,16,202.954131
15.0,10,204.290897
3.0,19,204.358988
7.0,12,204.410433
-3.0,8,204.430912
-4.0,7,204.453158
19.0,12,204.499055
11.0,8,204.525816
16.0,12,204.578541
-3.0,13,204.640106
-9.0,5,204.664861
0.0,12,204.728622
6.0,6,204.764406
0.0,9,204.815538
9.0,11,204.872347
0.0,5,204.888961
19.0,12,204.925073
2.0,14,204.984665
0.0,11,205.022523
0.0,6,205.035358
9.0,20,205.106557
1.0,19,205.175716
16.0,17,205.24753
10.0,16,205.314682
6.0,9,205.340038
-1.0,12,205.393986
4.0,12,205.440077
0.0,8,205.481643
-10.0,12,205.523708
0.0,10,205.56937
6.0,11,205.606316
5.0,13,205.653995
0.0,14,205.707546
9.0,14,205.762692
-5.0,15,205.824571
4.0,9,205.859928
7.0,13,205.907197
