#{"t_start": 1675251728.3162951, "env_id": "pushing-turtle-v0"}
r,l,t
-4.0,37,3.199099
5.0,39,3.74801
2.0,34,4.14115
-8.0,45,4.735958
2.0,34,5.104543
-6.0,40,5.554118
5.0,29,5.873411
17.0,31,6.234549
-8.0,32,6.643365
6.0,47,7.238766
-5.0,34,7.609113
-5.0,39,8.075861
6.0,37,8.464578
10.0,41,8.88956
-31.0,49,9.399602
-6.0,35,9.748465
0.0,39,10.130531
13.0,38,10.518754
-3.0,39,10.905368
2.0,41,11.315731
1.0,30,11.604924
12.0,31,11.911205
-12.0,27,12.169082
-8.0,41,12.57721
1.0,39,12.958627
-10.0,41,13.369752
-3.0,46,17.783932
2.0,32,18.206791
9.0,46,18.764894
4.0,37,19.202914
16.0,42,19.710365
-4.0,31,20.091698
3.0,48,20.730298
-8.0,33,21.107964
1.0,28,21.392048
-15.0,35,21.751778
-13.0,43,22.211672
-10.0,37,22.592793
-4.0,45,23.047191
2.0,33,23.387701
-15.0,39,23.774501
13.0,41,24.186146
-8.0,41,24.600581
10.0,40,24.999837
-3.0,43,25.4273
-4.0,48,25.924531
7.0,44,26.382965
-6.0,36,26.768832
6.0,32,27.104256
10.0,46,27.588686
4.0,31,27.908351
-10.0,39,28.298645
-1.0,50,28.931185
-2.0,41,3118.205842
3.0,34,3118.58528
2.0,38,3119.03456
-3.0,37,3119.455314
-6.0,63,3120.14538
-3.0,33,3120.507408
11.0,45,3120.993041
0.0,35,3121.363543
-2.0,41,3121.82071
3.0,30,3122.175699
9.0,35,3122.580443
2.0,30,3122.913379
8.0,37,3123.322964
6.0,42,3123.794202
5.0,34,3124.152832
2.0,40,3124.601454
-2.0,31,3124.92876
2.0,40,3125.368183
-4.0,43,3125.79846
18.0,54,3126.347327
-2.0,44,3126.786897
-11.0,43,3127.23367
-24.0,40,3127.647585
2.0,35,3128.006466
-2.0,42,3131.957443
2.0,33,3132.328479
13.0,38,3132.789606
-1.0,39,3133.216931
-4.0,30,3133.540836
-9.0,31,3133.867185
8.0,38,3134.326279
5.0,48,3134.92044
1.0,34,3135.325212
10.0,47,3135.827859
-3.0,36,3136.222132
0.0,36,3136.64551
5.0,40,3137.097049
10.0,43,3137.590232
-7.0,40,3138.065554
-16.0,41,3138.498087
4.0,36,3138.912236
-7.0,29,3139.22774
13.0,39,3139.67697
-2.0,35,3140.03952
0.0,33,3140.385296
-10.0,49,3140.890927
-8.0,49,3141.395999
-14.0,43,3141.856446
4.0,42,3142.269535
9.0,45,3142.729244
-10.0,38,3146.862431
5.0,43,3147.376155
0.0,38,5990.484115
11.0,42,5990.994927
2.0,34,5991.40338
10.0,41,5991.895965
-11.0,36,5992.316997
-5.0,41,5992.829364
5.0,39,5993.370369
2.0,49,5993.940046
12.0,29,5994.327796
18.0,42,5994.86212
-11.0,46,5995.466596
1.0,54,5996.217545
4.0,37,5996.706649
-3.0,33,5997.138741
1.0,39,5997.564868
1.0,39,5998.062601
-5.0,38,5998.580472
8.0,37,5999.06836
2.0,35,5999.546098
0.0,44,6000.102468
-1.0,33,6000.505313
7.0,38,6001.005141
0.0,45,6001.636699
2.0,34,6005.955612
1.0,38,6006.389355
-3.0,31,6006.727164
1.0,41,6007.23735
-1.0,26,6007.585799
15.0,32,6007.968136
-4.0,37,6008.441915
1.0,29,6008.785191
5.0,35,6009.172206
6.0,34,6009.631119
-5.0,37,6010.04895
13.0,59,6010.702956
18.0,43,6011.210713
7.0,33,6011.653519
5.0,38,6012.17122
10.0,41,6012.6636
-1.0,46,6013.199026
10.0,29,6013.574907
-6.0,47,6014.26059
2.0,49,6014.840086
6.0,40,6015.278516
5.0,56,6015.895555
13.0,38,6016.32641
-8.0,38,6016.765307
-3.0,54,6017.448579
5.0,33,6018.089528
12.0,35,6018.554223
7.0,35,6018.958695
13.0,33,6019.320369
9.0,36,6019.72243
3.0,35,8691.678215
-3.0,30,8692.000988
7.0,42,8692.430944
12.0,33,8692.766896
22.0,37,8693.144167
0.0,38,8693.538679
5.0,37,8693.921917
-7.0,36,8694.303977
-3.0,30,8694.603615
7.0,34,8694.946127
5.0,35,8695.291146
0.0,37,8695.659048
0.0,41,8696.078117
-2.0,35,8696.437752
7.0,42,8696.873652
6.0,43,8697.315641
7.0,47,8697.805396
8.0,41,8698.219077
13.0,34,8698.579544
15.0,36,8698.953306
1.0,34,8699.305606
0.0,36,8699.683857
-3.0,39,8700.0946
5.0,35,8704.272123
1.0,36,8704.674739
-1.0,33,8705.001059
8.0,32,8705.370748
3.0,30,8705.670163
-3.0,34,8706.022938
0.0,33,8706.432758
1.0,35,8706.833969
-3.0,39,8707.30852
-3.0,31,8707.665615
14.0,33,8708.041951
4.0,44,8708.548588
10.0,40,8708.949838
18.0,34,8709.335579
-3.0,39,8709.810326
5.0,31,8710.127598
13.0,39,8710.530306
23.0,31,8710.922389
18.0,40,8711.436907
-6.0,30,8711.758591
23.0,42,8712.237291
-5.0,33,8712.610777
5.0,35,8713.030653
-6.0,44,8713.538434
18.0,33,8713.937676
-3.0,30,8714.279301
7.0,31,8714.639151
1.0,35,8715.036432
7.0,34,8715.590677
28.0,34,8715.972459
8.0,44,8716.474857
21.0,47,8717.050097
0.0,28,8717.372076
0.0,43,12012.01387
10.0,38,12012.503646
7.0,38,12012.948606
4.0,55,12013.609087
8.0,44,12014.111062
9.0,35,12014.524689
7.0,47,12015.069573
-1.0,35,12015.464292
15.0,35,12015.86826
-1.0,33,12016.255223
10.0,26,12016.561384
28.0,40,12017.014217
14.0,33,12017.394361
11.0,29,12017.753408
13.0,30,12018.10832
2.0,32,12018.489295
13.0,35,12018.899532
10.0,38,12019.344947
10.0,43,12019.897557
20.0,44,12020.411117
4.0,34,12020.76386
1.0,38,12021.247192
5.0,35,12025.422978
16.0,40,12025.873253
6.0,43,12026.426182
17.0,34,12026.939305
2.0,32,12027.425105
3.0,54,12028.245348
-6.0,39,12028.792569
7.0,39,12029.333805
8.0,37,12029.852773
3.0,39,12030.395873
1.0,34,12030.863363
15.0,41,12031.335078
4.0,42,12031.905232
16.0,29,12032.314517
1.0,30,12032.637817
17.0,47,12033.148256
5.0,39,12033.567873
4.0,39,12033.990363
7.0,46,12034.478134
9.0,29,12034.792024
13.0,47,12035.32068
20.0,40,12035.757754
-14.0,40,12036.204185
0.0,35,12036.621579
10.0,34,12037.027332
3.0,40,12037.496748
-3.0,42,12038.160503
2.0,35,12038.568292
0.0,44,12039.087727
10.0,31,12039.434549
-3.0,41,12039.93961
12.0,36,12040.343019
