#{"t_start": 1672578539.753211, "env_id": "sokoban-turtle-v0"}
r,l,t
2.0,17,5.694925
-8.0,10,6.352149
-1.0,12,7.037365
23.0,21,8.328648
0.0,11,9.344456
1.0,17,10.193446
7.0,9,11.016817
-5.0,9,11.642263
-1.0,8,12.314692
12.0,9,12.977391
-4.0,7,13.23356
-3.0,11,14.556184
6.0,13,15.408294
0.0,10,16.21643
8.0,9,16.929738
-11.0,15,17.926712
3.0,9,18.652853
-2.0,10,19.471844
-2.0,7,20.16662
4.0,12,21.184297
-7.0,9,21.886361
2.0,14,22.815969
-7.0,10,23.58188
11.0,10,24.433333
0.0,8,25.106004
4.0,14,26.387461
-6.0,10,27.153574
3.0,10,28.011972
0.0,9,28.40997
10.0,7,29.054332
-2.0,12,29.983477
-1.0,15,31.336713
0.0,6,31.608694
4.0,7,32.323069
1.0,12,33.177848
-1.0,11,33.997377
2.0,13,35.222228
-7.0,6,35.478831
-2.0,12,36.741837
-8.0,14,37.738926
-8.0,14,38.70796
-2.0,17,40.235902
0.0,10,41.075718
1.0,11,41.909163
-7.0,10,42.682583
0.0,9,43.432713
0.0,8,44.190089
-9.0,11,45.080733
7.0,8,45.832989
-5.0,16,46.958753
5.0,11,47.86444
16.0,9,48.619125
-2.0,9,49.378432
4.0,11,50.202992
0.0,12,51.487023
4.0,11,52.324557
0.0,16,53.367292
-9.0,15,54.717858
-2.0,11,55.703093
0.0,6,55.979831
9.0,10,56.766342
-9.0,10,57.550523
-4.0,9,58.291168
-9.0,12,59.625609
3.0,7,59.947051
14.0,16,62.553917
7.0,12,63.435536
-8.0,12,64.349482
-8.0,9,65.170514
-3.0,14,66.513247
-6.0,15,70.830104
8.0,9,71.57619
0.0,14,72.658916
-6.0,15,74.020833
-5.0,14,74.986729
0.0,12,75.89826
0.0,15,77.402139
9.0,20,79.281514
1.0,10,80.165223
-8.0,16,81.659231
-1.0,8,82.023321
-1.0,8,83.037201
-6.0,13,83.969193
8.0,6,84.571416
0.0,13,85.693429
4.0,7,86.334548
7.0,9,87.059808
0.0,11,87.91863
0.0,13,88.864418
0.0,9,89.708141
-3.0,7,90.359653
7.0,11,91.191061
-2.0,7,91.854712
0.0,6,92.12958
-8.0,9,92.910057
4.0,18,94.461153
-1.0,10,95.250738
-2.0,15,96.613736
0.0,7,96.949604
2.0,9,97.78722
-1.0,11,98.613791
2.0,8,99.621739
3.0,10,100.439556
1.0,14,101.452319
-3.0,11,102.755541
3.0,16,103.833206
9.0,13,105.132842
5.0,10,105.934542
0.0,10,106.93645
3.0,9,107.687702
7.0,8,108.389768
-4.0,12,109.275715
4.0,12,110.596182
1.0,11,111.471903
0.0,12,112.365677
-1.0,11,113.251994
0.0,15,114.282036
-6.0,13,115.628523
4.0,14,116.630958
3.0,7,117.288745
3.0,20,118.974639
5.0,8,119.794033
-3.0,10,120.702258
-1.0,11,121.552943
3.0,6,121.864191
-3.0,15,123.328892
5.0,10,124.140338
4.0,9,124.897165
-4.0,13,127.066399
-9.0,10,128.018712
0.0,10,128.93448
9.0,15,130.316478
-3.0,7,130.640478
-2.0,7,131.308947
-2.0,11,132.230436
-6.0,13,133.256823
-1.0,10,134.069159
3.0,6,134.682969
-1.0,11,135.527242
-1.0,8,136.30443
4.0,8,137.127249
0.0,8,137.519357
-2.0,13,138.816588
-3.0,14,139.841429
2.0,12,140.908973
-2.0,6,142.044793
8.0,16,143.498519
-22.0,12,144.46927
8.0,8,145.328875
-2.0,14,146.451555
-12.0,8,147.168769
8.0,10,147.980096
-2.0,16,149.444062
-2.0,11,150.316761
-12.0,9,151.165776
-3.0,11,152.023689
-6.0,13,153.332677
3.0,9,154.091521
2.0,10,154.975041
1.0,14,157.786184
3.0,7,158.483795
0.0,11,159.346207
5.0,15,160.359385
5.0,11,161.337356
-3.0,9,162.320461
0.0,10,163.242389
0.0,15,164.6285
0.0,7,165.37227
0.0,12,166.390788
-6.0,18,167.94381
-3.0,8,168.36153
-6.0,10,169.175061
0.0,7,169.9375
-3.0,11,170.829118
-1.0,7,171.513425
3.0,12,172.396753
0.0,13,173.671962
8.0,13,175.127076
6.0,9,176.348098
2.0,9,176.757038
6.0,7,177.444024
4.0,17,179.004361
-10.0,11,179.920365
-5.0,8,180.691335
1.0,17,181.896427
2.0,10,769.169584
1.0,14,770.579884
13.0,10,771.344504
-3.0,12,772.242467
8.0,10,773.013571
-3.0,10,773.874597
7.0,12,774.789717
10.0,10,775.577449
6.0,9,776.332627
4.0,9,777.250508
6.0,8,778.055443
-10.0,11,778.9278
2.0,16,780.385807
5.0,7,780.706464
5.0,10,781.740203
-5.0,11,782.664231
2.0,15,784.054312
-2.0,13,785.032908
-4.0,10,785.851344
-2.0,8,786.685939
-2.0,10,787.485892
9.0,7,788.148239
-6.0,10,788.962357
8.0,13,790.136967
21.0,11,791.303734
0.0,11,792.189859
-2.0,15,793.626397
2.0,7,793.970474
3.0,6,794.711743
-2.0,9,795.475598
-5.0,13,796.449721
0.0,9,797.232596
-2.0,18,798.856074
3.0,7,799.579506
11.0,11,800.485464
-8.0,7,800.816268
4.0,9,801.641508
-2.0,10,804.097564
3.0,7,804.864775
0.0,10,805.745846
1.0,8,806.481807
-11.0,9,807.266667
-8.0,8,807.616686
-1.0,16,809.197517
2.0,8,809.995449
4.0,7,810.715416
14.0,21,812.490297
2.0,7,812.820861
-5.0,9,814.064891
6.0,8,814.820048
-2.0,11,815.693403
-2.0,13,816.803435
18.0,11,818.111319
5.0,11,818.991577
4.0,8,819.385109
1.0,7,820.081547
7.0,9,820.916985
1.0,15,822.460752
4.0,13,823.429146
3.0,8,824.15521
0.0,16,825.266217
0.0,11,826.176233
2.0,5,826.859443
-1.0,17,828.536994
5.0,7,828.869816
7.0,7,829.582258
-4.0,13,830.55195
-12.0,12,831.583249
-3.0,10,832.430031
1.0,12,833.75646
-2.0,6,834.088431
0.0,10,834.931863
0.0,15,836.448267
4.0,10,837.287905
-2.0,6,837.5877
2.0,6,838.240252
12.0,10,839.258723
11.0,15,840.407937
1.0,9,841.213524
4.0,13,842.567622
4.0,13,845.122547
-3.0,8,845.945374
3.0,12,846.926115
0.0,7,847.62424
0.0,12,848.670298
-8.0,10,851.077067
-3.0,7,851.884839
-2.0,8,852.282584
-2.0,11,853.197342
5.0,11,854.434668
2.0,7,854.773489
4.0,9,855.545553
7.0,12,856.532976
-2.0,8,857.275507
5.0,9,858.147967
0.0,16,859.659718
0.0,16,860.909012
1.0,12,861.846208
2.0,11,863.093412
5.0,12,864.082521
2.0,13,865.149322
5.0,8,865.891832
1.0,6,866.174174
-7.0,16,867.680976
0.0,10,868.542449
5.0,11,869.516188
4.0,10,870.414697
4.0,10,871.797362
2.0,9,872.609243
0.0,14,873.655859
1.0,12,875.039801
0.0,11,875.947422
-2.0,13,877.169367
-2.0,13,878.141994
4.0,5,878.830237
12.0,23,880.662878
4.0,7,881.361381
-2.0,11,882.286934
-3.0,10,883.206745
3.0,11,884.111868
1.0,11,885.006443
3.0,7,885.704861
7.0,7,886.396657
3.0,15,887.910366
5.0,11,888.810385
19.0,13,889.783525
1.0,9,890.628895
-7.0,10,891.482976
2.0,8,892.3775
6.0,9,893.256106
16.0,13,894.258005
-3.0,10,895.103631
8.0,15,896.653058
4.0,18,898.255531
-2.0,8,898.672453
4.0,11,899.941859
0.0,15,901.137226
0.0,14,902.210034
11.0,11,903.798156
-2.0,11,905.271321
4.0,13,906.399951
5.0,11,907.357212
0.0,15,908.892496
1.0,13,909.892706
6.0,12,910.996458
12.0,15,912.667304
-1.0,14,913.742768
0.0,12,914.820771
1.0,8,915.642284
-3.0,8,916.410924
-5.0,10,917.490754
9.0,16,918.641738
13.0,13,920.045717
-3.0,6,920.351089
0.0,12,921.308288
12.0,11,922.59443
2.0,13,923.611501
11.0,11,925.725116
-4.0,7,926.447544
2.0,10,927.361017
17.0,10,928.335081
0.0,6,928.622986
-7.0,14,930.129228
6.0,14,931.966377
3.0,7,932.669589
-3.0,9,933.48547
6.0,13,934.496501
0.0,17,936.275051
0.0,26,938.329271
5.0,8,939.078732
4.0,9,940.009541
3.0,8,940.761148
3.0,6,941.062103
2.0,13,942.565771
8.0,17,943.774597
2.0,12,945.482287
-4.0,19,946.76855
-5.0,12,948.106989
2.0,13,949.22173
5.0,9,950.04516
0.0,8,950.853154
3.0,10,951.746959
-3.0,11,952.860625
3.0,10,954.091255
8.0,9,954.932504
3.0,15,956.295382
7.0,14,957.794499
-2.0,10,958.757116
-4.0,8,1545.785258
0.0,13,1547.152747
2.0,15,1548.457425
-7.0,7,1549.188181
6.0,12,1550.229886
0.0,16,1551.850568
6.0,8,1552.26004
-3.0,7,1552.978924
-1.0,10,1554.019789
0.0,12,1555.175358
4.0,17,1556.784815
0.0,9,1557.582943
0.0,7,1558.309903
4.0,14,1559.662187
10.0,23,1561.76209
3.0,8,1562.658901
9.0,6,1563.316861
5.0,32,1566.18472
10.0,8,1567.13633
5.0,10,1568.043586
-3.0,12,1569.072256
7.0,11,1569.976821
-3.0,9,1570.78946
-3.0,11,1571.670483
0.0,11,1572.686026
8.0,15,1574.227248
5.0,11,1575.110849
2.0,17,1576.541446
7.0,10,1578.364362
-2.0,11,1579.751947
-2.0,9,1580.203918
-6.0,20,1582.324357
8.0,8,1583.094629
7.0,16,1584.735294
13.0,9,1585.591398
2.0,9,1586.438925
7.0,18,1588.074213
5.0,14,1589.638519
-2.0,6,1589.95025
18.0,7,1590.700284
6.0,8,1591.614705
0.0,10,1592.553523
-2.0,10,1593.484196
2.0,9,1594.395559
1.0,7,1595.141346
0.0,11,1596.088167
4.0,13,1597.07435
3.0,9,1597.986657
2.0,19,1599.829115
4.0,12,1600.85946
2.0,6,1601.522484
10.0,13,1602.60036
-8.0,11,1603.831019
-4.0,18,1605.654011
7.0,14,1606.729007
4.0,9,1607.607538
6.0,12,1608.549381
1.0,13,1609.901431
5.0,18,1611.542325
-12.0,7,1612.361784
1.0,14,1613.45285
5.0,10,1614.320472
13.0,7,1615.033513
5.0,15,1616.610013
0.0,16,1617.76989
-2.0,9,1618.584717
4.0,6,1619.255707
9.0,11,1620.197118
5.0,12,1621.324097
4.0,17,1623.271978
12.0,12,1624.294882
7.0,8,1625.151974
4.0,13,1626.281137
10.0,9,1627.088371
0.0,12,1628.736664
6.0,14,1630.789775
-5.0,8,1631.177396
2.0,9,1632.527806
11.0,11,1633.516352
0.0,8,1634.294967
6.0,12,1635.450933
3.0,10,1636.337605
9.0,17,1638.052237
3.0,18,1639.726318
3.0,12,1640.702462
1.0,8,1641.545593
-5.0,7,1642.268296
-2.0,11,1643.166528
-3.0,15,1644.297638
-2.0,14,1645.870217
-3.0,8,1646.294109
-7.0,13,1647.731387
7.0,8,1648.121393
4.0,9,1648.943354
0.0,14,1650.47548
3.0,16,1651.678639
0.0,12,1653.077603
2.0,12,1654.086922
-2.0,15,1655.856632
12.0,26,1658.389784
19.0,12,1659.38355
4.0,8,1660.244108
7.0,8,1661.086697
8.0,10,1661.933394
-3.0,8,1662.300804
6.0,8,1663.068141
4.0,8,1663.825499
3.0,12,1664.874699
11.0,14,1666.323189
5.0,7,1666.670807
2.0,13,1668.064662
3.0,9,1668.95004
7.0,17,1670.293904
2.0,7,1670.995777
3.0,16,1672.597155
3.0,9,1673.037975
0.0,8,1673.916507
1.0,24,1676.403058
-3.0,11,1677.314667
5.0,10,1678.279864
2.0,10,1679.817976
-3.0,11,1680.802163
6.0,18,1682.517067
16.0,15,1683.724382
9.0,9,1684.855366
0.0,10,1685.795232
15.0,8,1686.56415
2.0,16,1687.778767
5.0,7,1688.567449
4.0,7,1689.27857
1.0,17,1691.015597
0.0,7,1692.857618
-1.0,12,1693.897164
-4.0,6,1694.790332
13.0,17,1696.438377
0.0,9,1697.297202
0.0,15,1698.421948
8.0,15,1700.031174
0.0,11,1701.098928
-1.0,12,1702.078513
-5.0,8,1702.877232
3.0,20,1704.817251
7.0,12,1705.903348
5.0,16,1707.771888
-4.0,18,1709.192505
5.0,13,1711.223755
4.0,12,1712.303978
8.0,10,1713.346209
-1.0,12,1714.526979
5.0,12,1715.536899
0.0,8,1716.348064
3.0,8,1717.119228
-3.0,8,1717.904944
12.0,8,1718.278816
-3.0,8,1719.121751
-3.0,15,1720.615138
0.0,6,1720.912233
5.0,12,1722.444579
11.0,12,1723.745911
18.0,21,1726.331325
-3.0,11,1727.285144
-2.0,10,1728.337326
7.0,10,1729.43278
15.0,14,1730.62915
-4.0,24,1733.020789
-4.0,14,1734.526537
1.0,19,1736.371242
5.0,6,1737.09682
-3.0,13,1739.360654
-1.0,15,1740.528681
3.0,10,1741.38568
9.0,10,1742.256511
3.0,12,1743.637861
9.0,16,2332.321963
4.0,11,2334.873366
-2.0,12,2337.641471
0.0,8,2338.146644
22.0,14,2339.765183
4.0,13,2340.84525
5.0,17,2342.585932
-2.0,10,2343.563808
1.0,8,2344.465787
19.0,16,2346.005089
4.0,9,2346.875736
-2.0,11,2348.250313
-2.0,6,2349.020513
12.0,12,2351.337459
1.0,18,2353.884501
7.0,7,2354.25713
1.0,8,2355.066113
15.0,8,2355.8458
14.0,8,2356.709707
-4.0,9,2357.600615
0.0,8,2358.375268
2.0,10,2359.246185
10.0,11,2360.389386
7.0,21,2363.632664
9.0,17,2364.913113
2.0,5,2365.541901
12.0,14,2366.692607
3.0,10,2367.662821
4.0,12,2369.129031
5.0,7,2369.481927
7.0,11,2370.424243
2.0,17,2373.3885
-1.0,11,2374.869963
8.0,19,2380.46046
5.0,15,2382.773131
-4.0,12,2384.940587
1.0,7,2385.578997
3.0,9,2386.417134
19.0,10,2387.278596
9.0,10,2388.142428
4.0,11,2389.602095
-3.0,10,2390.564737
-3.0,23,2393.271991
9.0,13,2394.6309
3.0,11,2396.326155
-2.0,8,2397.196058
5.0,11,2398.110524
13.0,12,2399.095515
6.0,12,2400.153097
-4.0,12,2402.057992
3.0,12,2403.731558
4.0,11,2404.718256
5.0,9,2405.692871
-4.0,13,2407.530651
6.0,12,2408.911842
0.0,9,2410.024941
10.0,7,2410.776255
4.0,9,2412.844628
4.0,8,2414.214925
5.0,12,2415.41562
3.0,26,2417.582508
9.0,13,2419.091815
13.0,16,2420.276098
0.0,7,2421.051548
2.0,12,2422.098447
4.0,16,2424.003216
9.0,17,2425.928544
-2.0,22,2428.231379
6.0,8,2429.068212
12.0,9,2429.576971
1.0,13,2431.250523
6.0,10,2432.154919
-5.0,11,2433.212814
12.0,9,2434.044834
1.0,16,2435.322337
12.0,18,2437.910916
4.0,6,2439.835015
10.0,19,2441.593893
5.0,14,2442.687327
8.0,14,2443.740692
-1.0,8,2446.522241
7.0,17,2448.14695
-1.0,13,2449.198011
11.0,14,2450.803216
0.0,8,2451.816924
0.0,9,2452.82599
13.0,21,2454.653731
2.0,19,2456.514651
15.0,10,2457.390549
8.0,17,2459.363354
-6.0,10,2460.254138
-1.0,11,2462.401456
5.0,15,2465.182927
7.0,14,2466.257029
8.0,16,2469.266822
19.0,12,2470.323824
17.0,17,2471.992743
2.0,12,2473.052572
