#{"t_start": 1673436048.1209018, "env_id": "sokoban-wide-v0"}
r,l,t
-19.0,27,2.310316
-29.0,26,3.023286
-14.0,24,3.449122
-14.0,24,4.018253
-15.0,24,4.442608
-22.0,25,4.866826
-36.0,24,5.397346
-37.0,23,5.801379
4.0,28,6.369283
-20.0,24,6.768102
-13.0,23,7.356951
-15.0,26,7.896
-26.0,25,8.460409
-17.0,22,8.903652
-27.0,21,9.322636
-43.0,24,9.73272
-14.0,24,10.27767
-15.0,22,10.69086
-30.0,24,11.114871
-7.0,24,11.663256
-11.0,28,12.244859
-26.0,25,12.783331
-31.0,23,13.19967
-28.0,25,13.746902
-16.0,24,14.180624
-20.0,27,14.736458
-62.0,26,15.298125
-32.0,29,16.154326
-44.0,25,16.612122
-4.0,24,17.035975
-15.0,21,17.653352
-16.0,23,18.079201
-23.0,26,18.537878
-12.0,24,19.085205
0.0,24,19.523355
-38.0,23,20.043709
-16.0,21,20.433253
-36.0,26,20.878709
-3.0,24,21.414755
-7.0,30,22.05977
-7.0,23,22.587717
-24.0,26,23.169126
-3.0,24,23.58625
-9.0,28,24.163268
-3.0,27,24.578986
-31.0,28,25.182194
-22.0,27,25.755767
-7.0,24,26.177677
-29.0,24,26.734091
-28.0,22,27.135823
-27.0,24,27.662603
-31.0,22,28.20446
-31.0,21,28.588658
-4.0,26,29.010913
-24.0,23,29.549772
-25.0,24,29.999309
-25.0,28,30.586286
7.0,24,31.03889
-27.0,25,31.606123
-39.0,23,32.021597
-28.0,25,32.568465
-50.0,25,33.148569
-56.0,22,33.539412
-13.0,28,34.141856
-48.0,24,34.572374
-33.0,24,35.11549
-34.0,21,35.594865
-27.0,22,36.010889
-41.0,22,36.410307
-28.0,29,37.001964
-8.0,24,37.6365
5.0,23,38.205268
-33.0,28,38.845564
-24.0,28,39.318545
-36.0,23,39.855097
-18.0,26,40.291592
-23.0,25,40.865732
21.0,24,41.319431
-35.0,24,41.860976
-19.0,22,42.375113
-6.0,24,42.835679
-26.0,23,43.406751
-53.0,23,43.823737
-29.0,25,236.528267
-33.0,27,237.119751
-2.0,30,237.732347
-18.0,27,238.308678
-18.0,22,238.73719
-30.0,24,239.195858
-10.0,25,239.953673
-27.0,29,240.574722
-39.0,27,241.035009
5.0,23,241.585438
-34.0,26,242.063722
0.0,23,242.640839
-8.0,32,243.27133
-29.0,27,243.90419
11.0,22,244.302926
-18.0,24,244.720047
-47.0,27,245.43033
-5.0,22,245.846724
-30.0,23,246.261497
-51.0,27,246.856749
-7.0,26,247.445111
-25.0,27,247.945354
-12.0,28,248.55298
26.0,29,249.136102
-11.0,29,249.805947
-24.0,24,250.317678
-5.0,21,250.723617
-1.0,29,251.315958
7.0,22,251.89466
-27.0,26,252.362219
-31.0,24,252.949207
-6.0,24,253.401175
-22.0,27,253.969865
-5.0,31,254.579883
4.0,24,255.013342
-30.0,22,255.437529
1.0,25,256.02361
-37.0,29,256.789437
-41.0,31,257.395613
-17.0,26,257.818144
-24.0,21,258.365283
-42.0,24,258.8116
11.0,28,259.396044
9.0,31,259.996149
-22.0,30,260.595873
-15.0,25,261.048126
-7.0,27,261.753178
-34.0,32,262.392111
-31.0,27,263.024408
-22.0,26,263.624466
-17.0,26,264.072704
-9.0,22,264.497887
4.0,23,265.03641
0.0,23,265.466754
-28.0,25,265.910702
-14.0,26,266.489065
-35.0,27,267.077028
-28.0,30,267.800225
-8.0,25,268.233287
-31.0,22,268.657904
2.0,27,269.265098
-42.0,23,269.701237
-24.0,23,270.259548
-22.0,24,270.699223
-3.0,25,271.347094
-6.0,23,271.764838
